date,Indianapolis Colts,New England Patriots
2015-01-19 00:51:49.130,10.85349,90.09009
2015-01-19 00:52:04.892,11.62791,88.49558
2015-01-19 00:52:20.708,10.67379,90.75624
2015-01-19 00:52:36.648,10.67379,90.80771
2015-01-19 00:52:52.488,9.090909,90.90909
2015-01-19 00:53:08.344,8.564232,91.2702
2015-01-19 00:53:24.525,8.564232,91.74312
2015-01-19 00:53:40.284,10,90.46632
2015-01-19 00:53:56.053,10.95961,89.25069
2015-01-19 00:54:11.901,11.62791,88.49558
2015-01-19 00:54:27.756,11.65074,88.43402
2015-01-19 00:54:50.704,11.78453,88.36034
2015-01-19 00:55:06.481,9.52381,89.35997
2015-01-19 00:55:22.226,10.86957,89.04451
2015-01-19 00:55:37.849,10.86957,90.01356
2015-01-19 00:55:53.685,11.62791,87.9605
2015-01-19 00:56:10.007,12.23802,87.03879
2015-01-19 00:56:25.664,13.15789,86.97224
2015-01-19 00:56:41.459,13.15789,87.09769
2015-01-19 00:56:57.396,13.15789,89.28571
2015-01-19 00:57:13.118,13.15789,87.95913
2015-01-19 00:57:28.874,12.5,87.2773
2015-01-19 00:57:45.013,13.88889,86.67968
2015-01-19 00:58:00.693,13.88889,86.24985
2015-01-19 00:58:16.476,14.18858,86.03955
2015-01-19 00:58:32.268,15.09555,85.26725
2015-01-19 00:58:48.118,15.625,84.83507
2015-01-19 00:59:03.921,15.455,84.74576
2015-01-19 00:59:19.751,15.625,84.48396
2015-01-19 00:59:35.485,16.08187,84.74576
2015-01-19 00:59:52.196,15.5096,84.75959
2015-01-19 01:00:07.895,14.70588,85.47009
2015-01-19 01:00:23.712,14.70911,85.47064
2015-01-19 01:00:39.785,16.34717,85.23556
2015-01-19 01:00:55.534,14.28571,86.12311
2015-01-19 01:01:11.316,14.46326,85.99307
2015-01-19 01:01:27.600,14.28571,86.2069
2015-01-19 01:01:43.428,14.42948,85.48696
2015-01-19 01:01:59.532,14.42948,85.49498
2015-01-19 01:02:15.336,14.45091,85.47009
2015-01-19 01:02:31.641,14.81156,84.74576
2015-01-19 01:02:47.833,14.81156,85.46653
2015-01-19 01:03:04.349,15.625,85.07103
2015-01-19 01:03:20.101,15.625,85.47009
2015-01-19 01:03:35.950,14.70588,85.45117
2015-01-19 01:03:51.742,14.70588,85.47009
2015-01-19 01:04:07.766,14.70588,85.47009
2015-01-19 01:04:23.595,14.70588,85.46828
2015-01-19 01:04:39.513,14.29994,85.47009
2015-01-19 01:04:55.629,14.35556,85.4812
2015-01-19 01:05:11.470,14.28571,85.47009
2015-01-19 01:05:27.276,14.28571,85.47009
2015-01-19 01:05:43.643,15.625,84.74836
2015-01-19 01:06:00.060,15.625,84.33317
2015-01-19 01:06:16.057,16.42464,84.23171
2015-01-19 01:06:32.101,13.8798,86.43595
2015-01-19 01:06:48.710,13.8798,86.5201
2015-01-19 01:07:04.628,12.82051,86.95652
2015-01-19 01:07:20.810,13.68499,86.82211
2015-01-19 01:07:36.574,12.82051,87.28775
2015-01-19 01:07:52.457,12.82051,88.49558
2015-01-19 01:08:09.056,12.52404,87.48728
2015-01-19 01:08:25.177,12.52404,88.47333
2015-01-19 01:08:41.273,11.48897,89.08648
2015-01-19 01:08:57.191,10.88285,89.28571
2015-01-19 01:09:13.056,10.88285,89.28571
2015-01-19 01:09:29.456,10.88285,89.50513
2015-01-19 01:09:45.422,11.10174,89.28571
2015-01-19 01:10:02.076,11.11111,89.28571
