date,Draw,France,Scotland
2015-02-07 17:28:45.549,1.720686,78.25114,21.31332
2015-02-07 17:29:01.319,1.698296,80.02891,16.90956
2015-02-07 17:29:17.122,1.649783,83.33333,14.79158
2015-02-07 17:29:33.357,1.645081,83.11223,15.31957
2015-02-07 17:29:49.299,1.786298,82.05808,16.92247
2015-02-07 17:30:05.035,1.818182,81.96721,15.85234
2015-02-07 17:30:29.793,1.933329,81.90897,17.78063
2015-02-07 17:30:51.334,2.016548,81.93567,16.59724
2015-02-07 17:31:09.561,2.233351,81.8955,15.9412
2015-02-07 17:31:25.701,2.127346,80.74869,16.51556
2015-02-07 17:31:41.446,2.460954,81.29218,15.33889
2015-02-07 17:31:57.201,2.15399,82.46665,15.05381
2015-02-07 17:32:13.246,2.69884,80.80687,15.79071
2015-02-07 17:32:29.048,2.631579,82.68234,14.70588
2015-02-07 17:32:44.852,2.694124,82.03091,14.72471
2015-02-07 17:33:00.692,2.146418,82.95917,14.67916
2015-02-07 17:33:16.687,2.269129,83.33333,14.35411
2015-02-07 17:33:32.649,2.220183,83.35666,13.25392
2015-02-07 17:33:48.585,2.181579,84.89806,12.72536
2015-02-07 17:34:04.484,2.181579,84.89806,12.57118
2015-02-07 17:34:20.528,2.381179,85.16289,12.49391
2015-02-07 17:34:36.401,2.29805,85.40206,12.44203
2015-02-07 17:34:52.266,2.457696,84.8793,12.29953
2015-02-07 17:35:08.082,2.662469,85.4523,12.08361
2015-02-07 17:35:23.866,2.5,84.74576,12.45537
2015-02-07 17:35:39.965,2.449749,84.64511,13.75707
2015-02-07 17:35:55.663,2.154956,86.66288,11.8057
2015-02-07 17:36:11.481,1.92584,87.68285,12.01957
2015-02-07 17:36:27.631,1.818182,84.74576,13.45995
2015-02-07 17:36:43.618,1.940289,84.80151,13.71792
2015-02-07 17:36:59.439,2.119998,83.54574,13.15789
2015-02-07 17:37:15.249,2.339496,83.25932,15.58539
2015-02-07 17:37:35.937,2.5,83.28127,15.56565
2015-02-07 17:37:51.777,2.380952,82.96046,15.49831
2015-02-07 17:38:07.501,2.316728,82.83475,14.29873
2015-02-07 17:38:24.043,2.34529,85.47009,13.67084
2015-02-07 17:38:39.933,2.205882,85.47009,11.63228
2015-02-07 17:38:55.917,2.247468,86.37717,11.88231
2015-02-07 17:39:11.626,2.426686,85.80455,11.60142
2015-02-07 17:39:27.333,2.432392,86.95652,11.82989
2015-02-07 17:39:43.077,1.923436,86.95652,11.21726
2015-02-07 17:39:58.830,1.851205,87.21852,11.16264
2015-02-07 17:40:14.568,1.818182,87.7193,10.76955
2015-02-07 17:40:31.379,1.829988,87.06015,10.91527
2015-02-07 17:40:47.127,1.762442,86.8956,11.48755
2015-02-07 17:41:02.809,1.667238,87.87577,11.09509
2015-02-07 17:41:18.401,1.606138,87.08519,11.18645
2015-02-07 17:41:34.817,1.811587,85.37553,16.77124
2015-02-07 17:41:50.478,1.83101,83.42302,17.6882
2015-02-07 17:42:06.224,2,82.51931,16.41047
2015-02-07 17:42:22.941,2.089332,82.07301,17.17598
2015-02-07 17:42:38.695,2.274344,74.07407,24.90597
2015-02-07 17:42:54.428,2.496285,74.07407,24.24744
2015-02-07 17:43:10.011,2.391343,73.28488,24.18268
2015-02-07 17:43:25.618,2.59251,76.48828,23.10192
2015-02-07 17:43:46.407,2.481752,75.94533,22.54036
2015-02-07 17:44:02.447,2.365406,75.26616,22.6783
2015-02-07 17:44:18.296,2.272727,76.96972,20.69714
2015-02-07 17:44:34.462,2.303479,77.63578,19.42402
2015-02-07 17:44:50.602,2.303479,77.93572,20.20953
2015-02-07 17:45:06.682,2.413407,77.33455,20.62312
2015-02-07 17:45:23.397,2.465695,76.98675,20.46548
2015-02-07 17:45:39.035,2.380952,76.92308,20.61105
2015-02-07 17:45:54.658,2.380952,77.51938,20.63706
2015-02-07 17:46:10.474,2.392947,76.92308,20.83333
2015-02-07 17:46:26.277,2.392947,76.92308,21.15044
2015-02-07 17:46:41.998,2.416107,76.33588,20.92655
2015-02-07 17:46:57.908,2.5,76.92308,20.83333
2015-02-07 17:47:13.727,2.380952,76.53825,20.86026
2015-02-07 17:47:29.447,2.380952,76.38879,20.67988
2015-02-07 17:47:46.763,2.380952,76.86676,20.97517
2015-02-07 17:48:02.481,2.5,76.19375,20.97748
2015-02-07 17:48:18.212,2.5,76.92308,20.97748
2015-02-07 17:48:34.062,2.380952,77.24282,21.20048
2015-02-07 17:48:49.918,2.380952,76.57945,21.00026
2015-02-07 17:49:05.720,2.470588,77.38106,20.83333
2015-02-07 17:49:22.208,2.5,76.85234,20.61123
2015-02-07 17:49:37.870,2.5,77.19408,20.83333
2015-02-07 17:49:53.959,2.572174,77.41536,20.83333
2015-02-07 17:50:09.704,2.624125,77.0465,20.63589
2015-02-07 17:50:25.497,2.700663,76.9807,20.53154
2015-02-07 17:50:41.662,2.696181,76.60263,21.16091
2015-02-07 17:50:57.464,2.696181,76.92308,21.2766
2015-02-07 17:51:17.154,2.631579,76.92308,21.24214
