date,Draw,France,Ireland
2015-02-14 17:29:46.366,39.4148,263.9724,2673.421
2015-02-14 17:30:02.405,60.52773,248.9568,5019.911
2015-02-14 17:30:18.190,8.248313,180.4746,6107.705
2015-02-14 17:30:33.980,9.879251,60.07344,29471.48
2015-02-14 17:30:50.205,51.51546,281.0606,3442.771
2015-02-14 17:31:05.963,88.78973,378.5366,4312.47
2015-02-14 17:31:21.777,278.1166,209.1376,838.22
2015-02-14 17:31:37.785,154.3492,261.3967,3794.113
2015-02-14 17:31:53.555,294.9338,1762.184,8029.185
2015-02-14 17:32:09.212,140.8657,1128.382,9629.987
2015-02-14 17:32:25.270,35.23589,237.3098,5211.4
2015-02-14 17:32:40.976,56.95859,123.735,2028.352
2015-02-14 17:32:56.757,418.2304,530.3162,1822.344
2015-02-14 17:33:13.233,65.3666,223.0112,3620.982
2015-02-14 17:33:28.966,21.08956,308.2203,656.2935
2015-02-14 17:33:44.735,20.92724,76.09904,1701.498
2015-02-14 17:34:00.356,114.5738,736.1072,6232.618
2015-02-14 17:34:16.318,13.15638,87.17041,4799.184
2015-02-14 17:34:32.002,28.84487,171.0799,3869.115
2015-02-14 17:34:47.903,29.77124,110.9347,3834.038
2015-02-14 17:35:03.537,0,0,314.7078
2015-02-14 17:35:19.186,87.41646,30.67244,490.7591
2015-02-14 17:35:34.931,3.887034,24.6941,758.9244
2015-02-14 17:35:50.541,76.87471,71.64723,8908.165
2015-02-14 17:36:06.741,373.1853,609.6298,7418.52
2015-02-14 17:36:22.306,622.5726,972.3095,7819.452
2015-02-14 17:36:37.948,35.32702,310.5402,3262.936
2015-02-14 17:36:53.550,25.42013,294.2735,1124.023
2015-02-14 17:37:09.524,48.34048,55.58968,1217.001
2015-02-14 17:37:25.130,65.51272,621.6788,1791.142
2015-02-14 17:37:41.318,163.4953,893.6827,4718.457
2015-02-14 17:37:57.093,96.03942,22.82125,1297.084
2015-02-14 17:38:25.889,62.57027,123.9112,2867.877
2015-02-14 17:38:41.971,19.21381,276.0073,842.6094
2015-02-14 17:38:57.779,62.13701,366.8627,2141.582
2015-02-14 17:39:13.978,403.2691,157.152,2212.795
2015-02-14 17:39:29.864,4.003543,21.52849,2043.204
2015-02-14 17:39:45.602,33.32044,376.3609,1686.228
2015-02-14 17:40:01.554,59.05188,190.0192,3415.794
2015-02-14 17:40:17.262,18.44992,95.49648,2713.017
2015-02-14 17:40:33.071,201.222,770.048,1677.748
2015-02-14 17:40:49.261,289.8168,48.9946,5204.509
2015-02-14 17:41:05.036,349.156,114.0652,2095.354
2015-02-14 17:41:20.967,80.59776,82.85751,2150.454
2015-02-14 17:41:36.848,121.1622,229.2902,2580.185
2015-02-14 17:41:53.207,0,129.6902,700.4957
2015-02-14 17:42:09.056,41.64163,400.6682,2682.099
2015-02-14 17:42:25.130,39.94151,386.4994,1998.046
2015-02-14 17:42:40.872,101.079,863.6689,2610.292
2015-02-14 17:42:56.577,0.1528185,16.08415,1035.345
2015-02-14 17:43:13.121,71.11882,252.9596,2730.803
2015-02-14 17:43:28.784,5.171369,81.5161,960.6871
2015-02-14 17:43:45.043,56.86605,206.9098,306.8774
2015-02-14 17:44:01.211,34.88428,63.90503,1221.766
2015-02-14 17:44:17.209,15.00252,198.7834,2238.301
2015-02-14 17:44:33.278,3.584369,957.8854,3246.991
2015-02-14 17:44:49.235,81.52254,611.1558,3889.468
2015-02-14 17:45:05.456,0.7767399,472.8127,18.49381
2015-02-14 17:45:21.588,182.4694,618.2982,2683.445
2015-02-14 17:45:37.575,0,37.5318,469.8982
2015-02-14 17:45:53.634,47.86035,154.3039,397.3418
2015-02-14 17:46:09.620,0,131.3617,2749.138
