date,Draw,Scotland,Wales
2015-02-15 15:28:26.374,0.7279386,7.662512,4962.051
2015-02-15 15:28:42.310,41.75465,37.65072,566.0786
2015-02-15 15:28:57.973,109.3616,197.9234,1694.856
2015-02-15 15:29:14.025,362.0272,16.59681,2915.468
2015-02-15 15:29:30.080,31.50392,59.79392,2841.145
2015-02-15 15:29:46.318,18.25324,871.0936,973.8882
2015-02-15 15:30:02.002,59.87007,566.4512,4192.588
2015-02-15 15:30:17.890,121.0731,1553.029,2079.466
2015-02-15 15:30:33.620,23.80172,127.0188,5168.062
2015-02-15 15:30:49.428,117.2444,2282.414,7985.373
2015-02-15 15:31:05.183,200.4301,613.4389,2959.648
2015-02-15 15:31:21.010,64.18185,1395.055,4469.567
2015-02-15 15:31:37.177,175.7638,185.0419,2851.931
2015-02-15 15:31:53.038,25.3454,314.6991,2937.267
2015-02-15 15:32:08.789,2.514159,118.6607,717.3734
2015-02-15 15:32:24.778,193.6659,1499.682,437.2775
2015-02-15 15:32:40.917,83.83218,846.3146,4758.173
2015-02-15 15:32:56.989,0,0,723.6146
2015-02-15 15:33:12.776,19.04066,276.6787,2162.958
2015-02-15 15:33:28.654,33.89782,382.1724,3252.981
2015-02-15 15:33:44.576,13.26415,1545.764,8783.47
2015-02-15 15:34:00.429,83.41629,1186.979,10834.09
2015-02-15 15:34:16.533,201.2651,2249.348,11773.34
2015-02-15 15:34:32.349,51.86136,659.4777,2107.385
2015-02-15 15:34:48.107,57.07576,1043.736,9589.071
2015-02-15 15:35:04.029,85.65515,154.5787,14011.31
2015-02-15 15:35:20.081,75.42637,7.288474,12794.6
2015-02-15 15:35:37.259,73.84125,17.46482,5649.1
2015-02-15 15:35:53.219,40.7138,175.1483,6696.198
2015-02-15 15:36:08.981,468.3915,69.58307,6759.113
2015-02-15 15:36:24.725,85.74709,0,8642.011
2015-02-15 15:36:40.353,157.8336,293.8601,3789.62
2015-02-15 15:36:56.245,62.1448,435.0136,2794.553
2015-02-15 15:37:11.890,47.1732,157.6275,5328.041
2015-02-15 15:37:27.564,32.07702,221.4769,6410.772
2015-02-15 15:37:43.414,92.36803,868.0702,5471.708
2015-02-15 15:37:59.194,338.7554,732.7215,10491.83
2015-02-15 15:38:15.008,258.2154,13.73405,2992.203
2015-02-15 15:38:30.789,20.30272,815.5307,6961.4
2015-02-15 15:38:46.535,53.34898,419.1705,1469.536
2015-02-15 15:39:02.193,0,330.4133,99.62594
2015-02-15 15:39:17.997,46.65893,434.0533,7169.947
2015-02-15 15:39:33.705,14.20955,96.44921,4808.518
2015-02-15 15:39:49.340,605.1382,2166.356,5969.873
2015-02-15 15:40:04.929,46.57152,413.4858,2911.182
2015-02-15 15:40:20.531,193.0922,1433.482,39935.55
2015-02-15 15:40:37.043,109.7031,236.1942,13027.71
2015-02-15 15:40:52.703,226.2075,211.1117,6231.779
2015-02-15 15:41:08.381,61.80577,461.6106,5164.934
2015-02-15 15:41:24.214,32.21157,267.2802,5253.176
2015-02-15 15:41:39.946,172.3832,38.13787,810.2009
2015-02-15 15:41:55.908,269.0969,2401.762,6679.272
2015-02-15 15:42:11.673,111.3988,41.86492,12405.64
2015-02-15 15:42:29.435,78.84321,635.0358,1962.23
2015-02-15 15:42:45.129,20.11009,62.96828,2007.377
2015-02-15 15:43:00.832,15.93302,246.5606,931.9095
2015-02-15 15:43:16.691,4.237419,68.10137,9012.346
2015-02-15 15:43:32.686,1255.759,2121.44,3509.725
2015-02-15 15:43:49.017,2.608631,444.5694,5432.528
2015-02-15 15:44:04.822,59.78995,218.6224,2369.58
2015-02-15 15:44:20.584,56.49144,474.886,1712.026
2015-02-15 15:44:36.454,6.729448,167.2532,1295.683
2015-02-15 15:44:52.181,2.060186,20.25849,827.0501
2015-02-15 15:45:08.170,0.1125777,0.4878369,413.6481
2015-02-15 15:45:24.054,65.08346,593.9101,5585.883
2015-02-15 15:45:39.707,0,0,480.6128
2015-02-15 15:45:55.378,0,0,2834.678
2015-02-15 15:46:11.206,21.98713,208.4987,458.6971
2015-02-15 15:46:26.917,8.936444,82.03197,2066.877
2015-02-15 15:46:42.597,102.0156,85.63796,4887.601
2015-02-15 15:46:58.377,22.43368,19.0116,4515.635
2015-02-15 15:47:16.981,43.37627,404.254,7523.187
2015-02-15 15:47:33.598,96.94975,431.4174,8427.335
2015-02-15 15:47:49.293,264.4689,735.9866,7426.996
2015-02-15 15:48:04.916,268.7509,2043.283,35314.44
2015-02-15 15:48:20.543,60.01426,2219.414,12872.89
2015-02-15 15:48:36.323,66.34894,527.3315,13959.66
2015-02-15 15:48:51.942,55.08468,476.4786,5597.471
2015-02-15 15:49:07.533,8.2744,380.353,766.9406
2015-02-15 15:49:23.100,925.73,275.1983,16113.98
2015-02-15 15:49:38.698,4.461932,105.0477,6007.915
2015-02-15 15:49:54.321,443.2242,110.9117,16793.59
2015-02-15 15:50:09.947,345.5779,1359.273,3198.669
2015-02-15 15:50:25.519,385.3158,98.94911,18517.28
2015-02-15 15:50:41.411,0,407.7642,37.75595
2015-02-15 15:50:57.187,1544.357,1384.627,14294.77
2015-02-15 15:51:12.943,34.27229,4615.716,69.91548
2015-02-15 15:51:28.535,0,179.557,1023.621
2015-02-15 15:51:44.123,7.698452,69.28607,1366.398
2015-02-15 15:51:59.723,43.15297,230.4569,1330.512
2015-02-15 15:52:15.333,0,68.22338,230.9217
2015-02-15 15:52:32.218,0,879.7674,753.8325
2015-02-15 15:52:47.938,45.80136,1841.825,1576.483
2015-02-15 15:53:03.586,76.68846,127.5329,1618.51
2015-02-15 15:53:19.320,0,146.6312,11.28812
2015-02-15 15:53:34.999,72.70761,3635.304,15738.14
2015-02-15 15:53:50.903,0,324.4334,20453.79
2015-02-15 15:54:06.539,0,84.42115,4043.696
2015-02-15 15:54:22.402,28.14182,606.9026,3924.536
2015-02-15 15:54:38.447,51.90312,326.0024,950.5226
2015-02-15 15:54:54.144,40.13635,274.5709,1437.952
2015-02-15 15:55:10.033,0.2265622,791.7595,1060.991
2015-02-15 15:55:25.751,65.54296,748.4189,1425.416
2015-02-15 15:55:41.873,644.8585,1511.232,4340.355
2015-02-15 15:55:57.677,94.72515,882.4056,8516.873
2015-02-15 15:56:13.306,8.983158,309.6502,2126.782
2015-02-15 15:56:28.955,0.3067163,494.8868,906.6535
2015-02-15 15:56:44.622,62.30948,118.7212,4365.876
2015-02-15 15:57:00.346,0,114.476,0
2015-02-15 15:57:16.057,413.8952,2878.783,26442.09
2015-02-15 15:57:31.773,13.43854,272.9704,61.08428
2015-02-15 15:57:47.557,929.8574,1123.386,851.3207
2015-02-15 15:58:03.381,370.0369,1709.624,8072.713
2015-02-15 15:58:19.153,320.7606,121.4264,3028.053
2015-02-15 15:58:34.753,76.9621,449.3109,2546.942
2015-02-15 15:58:50.363,337.7921,1537.208,23809.5
2015-02-15 15:59:06.129,98.94471,1094.785,3198.997
2015-02-15 15:59:21.742,32.24282,910.7924,953.2192
2015-02-15 15:59:37.817,0,37.32618,783.8498
2015-02-15 15:59:53.770,13.1633,75.21888,7719.075
2015-02-15 16:00:09.503,0,76.27198,1311.497
2015-02-15 16:00:25.170,61.81334,150.3588,399.2973
2015-02-15 16:00:41.077,25.12084,132.469,2231.907
2015-02-15 16:00:56.747,107.7058,162.1139,865.8582
