date,Dallas Cowboys,Green Bay Packers
2015-01-11 18:49:32.790,2912.313,9973.548
2015-01-11 18:49:48.599,152.1095,3965.283
2015-01-11 18:50:04.449,224.782,18406.04
2015-01-11 18:50:20.574,2732.377,41988.1
2015-01-11 18:50:36.502,3841.711,3955.473
2015-01-11 18:50:52.195,3138.887,11854.12
2015-01-11 18:51:08.025,1405.652,690.7539
2015-01-11 18:51:24.217,1575.542,7807.384
2015-01-11 18:51:39.988,3387.078,15463.6
2015-01-11 18:51:55.766,400.8104,9154.943
2015-01-11 18:52:11.780,1178.131,3761.972
2015-01-11 18:52:27.502,0.3816214,1075.066
2015-01-11 18:52:43.345,130.0902,3733.458
2015-01-11 18:53:05.138,363.2004,455.5423
2015-01-11 18:53:20.819,1331.103,8856.253
2015-01-11 18:53:36.621,4911.729,6671.077
2015-01-11 18:53:52.404,1728.723,703.9807
2015-01-11 18:54:08.628,4703.481,3691.756
2015-01-11 18:54:24.445,12947.36,4986.842
2015-01-11 18:54:40.189,714.9559,2564.482
2015-01-11 18:54:56.017,11007.04,5092.059
2015-01-11 18:55:11.881,6233.547,8436.999
2015-01-11 18:55:27.603,6935.018,1756.29
2015-01-11 18:55:43.535,4446.486,1651.121
2015-01-11 18:55:59.413,18467.61,3482.006
2015-01-11 18:56:15.241,2463.998,8185.758
2015-01-11 18:56:36.013,13914.55,35542.39
2015-01-11 18:56:51.804,17301.45,41455.18
2015-01-11 18:57:07.632,13515.91,18005.8
2015-01-11 18:57:33.637,8368.149,11948.89
2015-01-11 18:57:49.394,7038.303,2086.211
2015-01-11 18:58:05.222,10518.05,6617.863
2015-01-11 18:58:20.991,7326.81,8186.729
2015-01-11 18:58:36.817,1340.425,8428.245
2015-01-11 18:58:52.680,8359.584,3958.776
2015-01-11 18:59:09.154,16596.09,683.3951
2015-01-11 18:59:24.828,5898.569,6265.935
2015-01-11 18:59:40.597,56833.11,3444.097
2015-01-11 18:59:56.433,4211.785,949.6379
2015-01-11 19:00:12.227,13472.1,3500.475
2015-01-11 19:00:28.536,11275.49,1666.811
2015-01-11 19:00:44.204,12783.72,1140.802
2015-01-11 19:01:00.047,24199.2,15512.82
2015-01-11 19:01:15.818,26700.12,29.7136
2015-01-11 19:01:32.090,6224.982,1505.021
2015-01-11 19:01:47.766,677.8628,780.5948
2015-01-11 19:02:03.384,9465.771,851.7307
2015-01-11 19:02:19.445,1945.972,1296.331
2015-01-11 19:02:35.435,7621.678,180.2633
2015-01-11 19:02:51.345,9168.089,455.182
2015-01-11 19:03:07.011,1285.625,19.14956
2015-01-11 19:03:22.813,21262.58,373.4254
2015-01-11 19:03:38.680,9794.889,330.7303
2015-01-11 19:03:54.747,5688.776,136.8652
2015-01-11 19:04:10.408,10475.18,1612.89
2015-01-11 19:04:26.237,1823.23,450.4915
2015-01-11 19:04:42.078,1419.156,489.5914
2015-01-11 19:04:58.731,8449.762,1920.857
2015-01-11 19:05:14.772,1547.576,497.4311
2015-01-11 19:05:30.399,3892.866,1257.358
2015-01-11 19:05:46.224,3017.859,987.9822
2015-01-11 19:06:02.052,5792.289,277.8361
2015-01-11 19:06:17.796,319.1991,102.4745
2015-01-11 19:06:33.636,8400.289,484.1746
2015-01-11 19:06:49.766,5756.142,2297.204
2015-01-11 19:07:05.388,12028.07,1860.878
2015-01-11 19:07:21.194,5328.374,920.2286
2015-01-11 19:07:37.042,5757.146,2865.284
2015-01-11 19:07:52.795,12608.62,227.7643
2015-01-11 19:08:08.601,6300.941,90.76507
2015-01-11 19:08:24.435,9082.773,1890.648
2015-01-11 19:08:41.020,891.4335,180.8915
2015-01-11 19:08:57.982,6496.372,812.2367
2015-01-11 19:09:13.639,3360.844,26.21259
2015-01-11 19:09:29.441,4755.47,202.3419
2015-01-11 19:09:45.509,1486.964,1386.29
2015-01-11 19:10:01.242,1693.22,0
2015-01-11 19:10:17.005,4377.024,7.612547
2015-01-11 19:10:32.844,1431.662,1121.487
2015-01-11 19:10:48.685,3229.324,874.3545
2015-01-11 19:11:09.408,9217.92,1945.828
2015-01-11 19:11:25.549,7508.779,929.583
2015-01-11 19:11:41.271,22207.48,2133.083
2015-01-11 19:11:57.015,3929.476,50.53277
2015-01-11 19:12:12.775,5780.377,2283.597
2015-01-11 19:12:28.561,15239.7,0
2015-01-11 19:12:44.965,5514.693,187.7478
2015-01-11 19:13:01.546,10368,478.1497
2015-01-11 19:13:17.233,7000.372,76.49635
2015-01-11 19:13:32.996,8050.134,167.4867
2015-01-11 19:13:48.818,40183.26,1526.321
2015-01-11 19:14:04.675,19144.34,343.8706
2015-01-11 19:14:20.388,10682.27,381.47
2015-01-11 19:14:36.328,15557.23,817.0145
2015-01-11 19:14:51.986,3365.817,149.5987
2015-01-11 19:15:07.789,16446.49,160.9423
2015-01-11 19:15:23.630,22030.88,1136.583
2015-01-11 19:15:39.471,26542.28,1203.102
2015-01-11 19:15:55.199,8979.852,865.1538
2015-01-11 19:16:11.377,3524.06,481.7623
2015-01-11 19:16:27.074,9861.66,1482.609
2015-01-11 19:16:42.788,1623.788,114.5476
2015-01-11 19:16:59.162,15124.72,0
2015-01-11 19:17:14.822,12016.63,183.1505
2015-01-11 19:17:30.614,3971.453,156.8399
2015-01-11 19:17:46.410,3308.306,0.6457307
2015-01-11 19:18:08.715,5256.491,367.9762
2015-01-11 19:18:28.734,8348.255,0
2015-01-11 19:18:44.401,445.0002,198.6417
2015-01-11 19:19:00.264,385.6712,51.7456
2015-01-11 19:19:16.526,1.512722,0.6641218
2015-01-11 19:19:32.235,1127.793,44.15079
2015-01-11 19:19:48.086,92.0593,29.56345
2015-01-11 19:20:03.843,468.3121,128.168
2015-01-11 19:20:19.589,10975.28,0
2015-01-11 19:20:35.414,53.07764,0
2015-01-11 19:20:51.599,10561.55,149.2126
2015-01-11 19:21:07.424,9264.217,131.3049
2015-01-11 19:21:23.374,8633.072,82.68405
2015-01-11 19:21:39.950,2220.338,292.3917
2015-01-11 19:21:55.586,14142.56,1463.58
2015-01-11 19:22:11.725,5551.704,4043.795
2015-01-11 19:22:27.432,9665.155,4901.491
2015-01-11 19:22:43.195,1431.872,225.406
2015-01-11 19:22:59.450,1619.995,236.796
2015-01-11 19:23:15.230,292.1526,152.0836
2015-01-11 19:23:32.318,15090.92,70.22726
2015-01-11 19:23:48.033,75.6742,0.1145422
2015-01-11 19:24:03.782,5118.329,3919.901
2015-01-11 19:24:19.421,7286.652,1535.627
2015-01-11 19:24:35.227,5554.53,641.2869
2015-01-11 19:24:51.544,4747.757,673.3865
2015-01-11 19:25:07.314,1292.519,2539.345
2015-01-11 19:25:23.025,7336.462,2611.548
2015-01-11 19:25:39.290,7645.276,3102.96
2015-01-11 19:25:55.037,4960.687,1968.714
2015-01-11 19:26:10.849,1266.06,937.5358
2015-01-11 19:26:26.668,3594.314,325.1697
2015-01-11 19:26:42.777,2210.526,567.3259
2015-01-11 19:27:00.444,2288.182,155.9437
2015-01-11 19:27:16.421,189.131,441.168
2015-01-11 19:27:32.834,3685.787,2761.663
2015-01-11 19:27:48.675,17990.42,241.0515
2015-01-11 19:28:09.557,3368.678,651.7723
2015-01-11 19:28:25.201,661.783,213.5501
2015-01-11 19:28:41.054,1871.892,37.84659
2015-01-11 19:28:56.823,957.0186,625.2146
2015-01-11 19:29:12.636,5295.747,201.3286
2015-01-11 19:29:28.428,2030.286,7.598519
2015-01-11 19:29:44.527,6704.498,159.8128
2015-01-11 19:30:00.224,952.7983,353.5055
2015-01-11 19:30:16.076,7657.161,391.0844
2015-01-11 19:30:32.344,6402.079,606.3497
2015-01-11 19:30:47.993,13454.3,-522.4058
2015-01-11 19:31:04.872,6588.969,143.5723
2015-01-11 19:31:20.604,2192.598,1112.242
2015-01-11 19:31:36.500,282.1374,186.305
2015-01-11 19:31:52.226,31765.27,6369.217
2015-01-11 19:32:07.995,2156.164,534.5226
2015-01-11 19:32:23.847,1023.019,171.8783
2015-01-11 19:32:40.057,18958.2,6110.339
2015-01-11 19:32:55.874,1641.551,749.422
2015-01-11 19:33:11.629,6082.729,200.7848
2015-01-11 19:33:27.388,154.8011,1525.206
2015-01-11 19:33:43.249,2196.186,2438.98
2015-01-11 19:33:59.595,16269.8,2117.67
2015-01-11 19:34:15.413,6917.586,2957.793
2015-01-11 19:34:31.413,2185.757,39.1499
2015-01-11 19:34:47.194,80.30132,19.01073
2015-01-11 19:35:03.108,1159.01,203.5931
2015-01-11 19:35:18.852,2103.585,96.03149
2015-01-11 19:35:34.617,1201.418,7.611861
2015-01-11 19:35:50.414,10335.57,29.62722
2015-01-11 19:36:06.708,7485.92,3048.056
2015-01-11 19:36:22.382,1143.318,1740.241
2015-01-11 19:36:38.376,4377.392,0
2015-01-11 19:36:54.015,6926.209,1286.553
2015-01-11 19:37:10.441,315.0043,565.9046
