date,Novak Djokovic,Roger Federer
2015-02-28 16:21:29.218,493.0507,37654.37
2015-02-28 16:21:44.963,204.8694,23240.97
2015-02-28 16:22:00.718,8503.891,48786.88
2015-02-28 16:22:16.505,5628.159,36755.23
2015-02-28 16:22:32.386,2129.521,23730.22
2015-02-28 16:22:48.106,1421.595,2943.379
2015-02-28 16:23:04.273,293.1198,13718.07
2015-02-28 16:23:20.614,674.9512,11135.7
2015-02-28 16:23:36.599,3085.875,15520.62
2015-02-28 16:23:52.350,3205.961,19632.64
2015-02-28 16:24:08.180,9008.775,16413.83
2015-02-28 16:24:23.921,46295.35,17811.35
2015-02-28 16:24:39.737,40372.3,40023.21
2015-02-28 16:24:55.909,19730.17,21139.77
2015-02-28 16:25:11.698,6891.161,8716.578
2015-02-28 16:25:27.526,61010.63,4937.014
2015-02-28 16:25:43.261,36484.85,7118.893
2015-02-28 16:25:59.088,8435.577,8995.562
2015-02-28 16:26:16.187,21490.44,6810.591
2015-02-28 16:26:32.111,2361.181,25725.97
2015-02-28 16:26:47.973,1180.434,16782.92
2015-02-28 16:27:03.671,830.2868,16623.78
2015-02-28 16:27:19.463,4060.947,37879.17
2015-02-28 16:27:35.322,5087.354,17840.96
2015-02-28 16:27:56.363,342.3916,6888.411
2015-02-28 16:28:12.407,674.8303,20125.43
2015-02-28 16:28:28.165,3431.071,16487.57
2015-02-28 16:28:43.902,1195.606,3826.634
2015-02-28 16:29:02.579,1531.259,3762.384
2015-02-28 16:29:18.411,1446.549,5599.816
2015-02-28 16:29:34.152,2774.591,10039.83
2015-02-28 16:29:49.927,282.5224,10364.1
2015-02-28 16:30:05.819,271.0854,14423.9
2015-02-28 16:30:21.480,2374.437,12545.26
2015-02-28 16:30:37.584,344.5513,45586.21
2015-02-28 16:30:53.263,3118.869,25587.39
2015-02-28 16:31:09.138,182.1682,14284.14
2015-02-28 16:31:24.911,632.3671,42497.47
2015-02-28 16:31:40.773,3616.659,67525.88
2015-02-28 16:31:56.666,1930.929,102817.6
2015-02-28 16:32:14.000,2637.853,504094.1
2015-02-28 16:32:30.072,8413.933,449854.2
2015-02-28 16:32:45.890,3983.587,190748.9
2015-02-28 16:33:01.854,2627.511,341298.8
2015-02-28 16:33:18.035,4134.149,193186.2
2015-02-28 16:33:33.726,413.0864,84460.63
2015-02-28 16:33:49.909,1312.965,109380.1
2015-02-28 16:34:05.771,976.3413,114655.4
2015-02-28 16:34:21.503,2858.932,173952.3
2015-02-28 16:34:37.270,845.1425,116279.8
2015-02-28 16:34:53.431,1309.506,108397.2
2015-02-28 16:35:09.084,3793.936,103302.3
2015-02-28 16:35:24.993,1802.117,152921.5
2015-02-28 16:35:40.668,567.4044,185731.2
2015-02-28 16:35:56.592,1994.306,172310.7
2015-02-28 16:36:12.395,139.9504,84368.11
2015-02-28 16:36:28.078,701.7078,114229.3
2015-02-28 16:36:44.038,269.6651,56985.6
2015-02-28 16:36:59.783,1517.604,58085.99
2015-02-28 16:37:27.512,290.8568,59635.03
2015-02-28 16:37:43.224,195.2234,117599.4
2015-02-28 16:37:58.832,1179.091,103996.8
2015-02-28 16:38:14.438,0,0
2015-02-28 16:38:30.251,0,0
2015-02-28 16:38:46.078,0,0
2015-02-28 16:39:01.846,0,0
2015-02-28 16:39:18.515,0,0
