date,AnaIvanovic,BethanieMattekSands
2015-07-01 18:33:48.016,42.73504,57.26496
2015-07-01 18:34:00.411,45.45455,54.54545
2015-07-01 18:34:12.870,45.87156,54.12844
2015-07-01 18:34:25.261,46.72897,53.27103
2015-07-01 18:34:37.856,48.19277,51.80723
2015-07-01 18:34:50.362,42.55319,57.44681
2015-07-01 18:35:03.001,45.45455,54.54545
2015-07-01 18:35:15.452,41.66667,58.33333
2015-07-01 18:35:27.848,43.66812,56.33188
2015-07-01 18:35:40.052,43.85965,56.14035
2015-07-01 18:35:52.568,40.16064,59.83936
2015-07-01 18:36:05.165,41.32231,58.67769
2015-07-01 18:36:17.732,41.32231,58.67769
2015-07-01 18:36:30.255,41.841,58.159
2015-07-01 18:36:42.661,44.05286,55.94714
2015-07-01 18:36:55.072,44.24779,55.75221
2015-07-01 18:37:07.491,43.66812,56.33188
2015-07-01 18:37:19.763,47.16981,52.83019
2015-07-01 18:37:32.193,46.72897,53.27103
2015-07-01 18:37:44.556,41.49378,58.50622
2015-07-01 18:37:56.978,40.81633,59.18367
2015-07-01 18:38:09.394,43.66812,56.33188
2015-07-01 18:38:21.782,44.24779,55.75221
2015-07-01 18:38:34.154,42.19409,57.80591
2015-07-01 18:38:46.589,40.65041,59.34959
2015-07-01 18:38:59.049,40.81633,59.18367
2015-07-01 18:39:11.334,35.46099,64.53901
2015-07-01 18:39:23.774,34.12969,65.87031
2015-07-01 18:39:36.103,37.87879,62.12121
2015-07-01 18:39:48.356,40.48583,59.51417
2015-07-01 18:40:00.778,32.36246,67.63754
2015-07-01 18:40:13.210,30.53435,69.46565
2015-07-01 18:40:25.545,14.33692,85.66308
2015-07-01 18:40:37.724,27.58621,72.41379
2015-07-01 18:40:49.928,24.84472,75.15528
2015-07-01 18:41:02.201,24.84472,75.15528
2015-07-01 18:41:14.554,24.69136,75.30864
2015-07-01 18:41:26.929,24.69136,75.30864
2015-07-01 18:41:39.168,24.39024,75.60976
2015-07-01 18:41:51.641,27.39726,72.60274
2015-07-01 18:42:04.017,27.39726,72.60274
2015-07-01 18:42:16.410,27.77778,72.22222
2015-07-01 18:42:28.786,31.25,68.75
2015-07-01 18:42:41.235,33.89831,66.10169
2015-07-01 18:42:53.448,36.63004,63.36996
2015-07-01 18:43:05.710,37.59398,62.40602
2015-07-01 18:43:17.954,39.21569,60.78431
2015-07-01 18:43:30.330,37.17472,62.82528
2015-07-01 18:43:42.546,38.02281,61.97719
2015-07-01 18:43:54.982,35.97122,64.02878
2015-07-01 18:44:07.342,36.23188,63.76812
2015-07-01 18:44:19.983,27.58621,72.41379
2015-07-01 18:44:32.333,32,68
2015-07-01 18:44:44.752,26.49007,73.50993
2015-07-01 18:44:57.165,27.39726,72.60274
2015-07-01 18:45:09.638,13.51351,86.48649
2015-07-01 18:45:22.087,21.97802,78.02198
2015-07-01 18:45:34.416,13.33333,86.66667
2015-07-01 18:45:46.809,21.50538,78.49462
2015-07-01 18:45:59.236,22.98851,77.01149
2015-07-01 18:46:11.589,22.72727,77.27273
2015-07-01 18:46:24.102,25,75
2015-07-01 18:46:36.497,24.09639,75.90361
2015-07-01 18:46:48.774,27.21088,72.78912
2015-07-01 18:47:06.111,25.80645,74.19355
2015-07-01 18:47:18.390,25.64103,74.35897
