date,England,France,Ireland,Italy,Scotland,Wales
2015-03-21 10:09:54.178,49.26108,0.3636364,35.84229,,,14.49275
2015-03-21 10:14:55.482,49.26108,0.3636364,35.84229,,,14.49275
2015-03-21 10:19:56.170,49.26108,0.3636364,35.84229,,,14.49275
2015-03-21 10:24:56.978,49.26108,0.3636364,35.84229,,,14.49275
2015-03-21 10:29:58.138,49.75124,0.3448276,35.84229,,,14.49275
2015-03-21 10:34:58.730,49.26108,0.3448276,36.36364,,,14.49275
2015-03-21 10:39:59.452,48.78049,0.3333333,37.17472,,,14.08451
2015-03-21 10:45:00.262,49.26108,0.3333333,36.90037,,,14.08451
2015-03-21 10:50:00.935,49.26108,0.3389831,36.90037,,,13.88889
2015-03-21 10:55:01.530,49.26108,0.3508772,36.90037,,,13.88889
2015-03-21 11:00:02.150,49.26108,0.3508772,36.90037,,,14.08451
2015-03-21 11:05:03.011,48.78049,0.3278689,36.90037,,,14.08451
2015-03-21 11:10:03.751,48.78049,0.3389831,36.90037,,,14.49275
2015-03-21 11:15:14.702,48.78049,0.3278689,36.90037,,,14.49275
2015-03-21 11:20:17.311,48.78049,0.3448276,36.90037,,,14.08451
2015-03-21 11:25:20.400,48.78049,0.3448276,36.90037,,,14.49275
2015-03-21 11:30:21.193,48.78049,0.3333333,36.90037,,,14.08451
2015-03-21 11:35:25.937,48.78049,0.3278689,37.45318,,,14.08451
2015-03-21 11:40:31.286,48.30918,0.3571429,37.45318,,,14.08451
2015-03-21 11:45:32.705,48.78049,0.3571429,37.17472,,,14.08451
2015-03-21 11:50:35.198,48.54369,0.3508772,37.17472,,,14.08451
2015-03-21 11:55:37.441,48.78049,0.3508772,37.17472,,,14.08451
2015-03-21 12:00:39.073,48.78049,0.3508772,37.17472,,,14.08451
2015-03-21 12:05:40.417,48.30918,0.3174603,37.17472,,,14.08451
2015-03-21 12:10:41.126,48.30918,0.3448276,37.17472,,,14.08451
2015-03-21 12:15:41.712,48.78049,0.3508772,37.17472,,,14.08451
2015-03-21 12:20:42.396,48.78049,0.2352941,37.45318,,,14.49275
2015-03-21 12:25:43.441,48.30918,0.2857143,36.90037,,,14.49275
2015-03-21 12:30:44.174,48.30918,0.2666667,36.90037,,,14.49275
2015-03-21 12:35:44.988,49.26108,0.1694915,37.73585,,,14.70588
2015-03-21 12:40:45.842,47.39336,0.2439024,38.02281,,,15.625
2015-03-21 12:45:46.533,48.78049,0.1724138,37.45318,,,14.49275
2015-03-21 12:50:47.162,47.61905,0.1538462,37.73585,,,14.28571
2015-03-21 12:55:47.979,49.50495,0.3125,38.16794,,,12.82051
2015-03-21 13:00:48.855,50.89059,0.6896552,41.49378,,,7.54717
2015-03-21 13:05:50.187,50.76142,0.8,40.98361,,,8.928571
2015-03-21 13:10:51.048,53.19149,1.492537,41.15226,,,5.797101
2015-03-21 13:15:51.938,53.33333,0.8333333,41.32231,,,6.153846
2015-03-21 13:20:52.574,52.91005,0.5405405,41.49378,,,5.194805
2015-03-21 13:25:53.338,52.91005,0.5405405,41.49378,,,5.405405
2015-03-21 13:30:54.459,52.91005,0.4651163,42.19409,,,4.878049
2015-03-21 13:35:55.391,52.35602,0.5263158,42.19409,,,5.633803
2015-03-21 13:40:56.343,51.94805,0,38.61004,,,8.547009
2015-03-21 13:45:56.998,46.51163,0,29.15452,,,21.39037
2015-03-21 13:50:57.963,37.59398,0,20.94241,,,34.24658
2015-03-21 13:55:58.706,35.21127,0,27.77778,,,36.76471
2015-03-21 14:00:59.291,27.58621,0,24.69136,,,48.78049
2015-03-21 14:05:59.921,22.98851,0,14.28571,,,61.9195
2015-03-21 14:11:00.700,13.15789,0,12.04819,,,76.92308
2015-03-21 14:16:01.745,27.77778,0,21.50538,,,54.05405
2015-03-21 14:21:02.370,31.49606,0,24.09639,,,44.44444
2015-03-21 14:26:03.747,29.41176,0,23.80952,,,45.24887
2015-03-21 14:31:04.925,30.53435,0,24.09639,,,46.08295
2015-03-21 14:36:06.715,27.21088,0,34.24658,,,36.63004
2015-03-21 14:41:07.364,27.58621,0,39.0625,,,29.85075
2015-03-21 14:46:08.167,27.39726,0,40.32258,,,33.05785
2015-03-21 14:51:08.910,30.07519,0,35.46099,,,34.48276
2015-03-21 14:56:09.967,29.19708,0,36.49635,,,35.21127
2015-03-21 15:01:10.963,25.80645,0,53.0504,,,23.25581
2015-03-21 15:06:12.001,27.21088,0,37.31343,,,34.72222
2015-03-21 15:11:12.728,29.41176,0,39.52569,,,31.49606
2015-03-21 15:16:13.556,31.49606,0,37.59398,,,30.53435
2015-03-21 15:21:14.755,31.74603,0,37.17472,,,31.25
