date,Golden State,New Orleans
2014-12-15 00:22:51.129,86.95652,12.5
2014-12-15 00:23:12.193,88.49558,12.5
2014-12-15 00:23:32.964,88.49558,12.5
2014-12-15 00:23:53.929,86.95652,12.5
2014-12-15 00:24:14.595,87.7193,12.5
2014-12-15 00:24:35.976,88.49558,12.5
2014-12-15 00:24:56.977,88.49558,12.5
2014-12-15 00:25:17.739,87.7193,12.5
2014-12-15 00:25:39.096,89.28571,12.5
2014-12-15 00:25:59.859,89.28571,12.5
2014-12-15 00:26:20.673,89.28571,12.5
2014-12-15 00:26:42.290,89.96265,12.5
2014-12-15 00:27:02.925,89.28571,12.5
2014-12-15 00:27:23.601,89.99133,12.5
2014-12-15 00:27:44.111,87.00271,12.19512
2014-12-15 00:28:04.735,86.2069,12.19512
2014-12-15 00:28:49.370,90.42949,12.5
2014-12-15 00:29:10.765,90.42949,12.5
2014-12-15 00:29:31.307,89.6683,12.5
2014-12-15 00:29:52.055,89.6683,12.5
2014-12-15 00:30:12.862,88.49558,12.5
2014-12-15 00:30:33.509,88.49558,12.5
2014-12-15 00:30:54.084,92.92004,27.91649
2014-12-15 00:31:14.699,89.73268,27.91649
2014-12-15 00:31:35.287,90.09009,10
2014-12-15 00:31:56.517,90.09009,10
2014-12-15 00:32:17.372,90.09009,10
2014-12-15 00:32:38.300,90.09009,10
2014-12-15 00:32:58.922,90.09009,10
2014-12-15 00:33:19.470,89.9995,10
2014-12-15 00:33:40.352,89.9995,10
2014-12-15 00:34:00.915,88.85299,10
2014-12-15 00:34:21.475,88.49558,10
2014-12-15 00:34:42.682,88.49558,10
2014-12-15 00:35:03.339,86.95652,13.15789
2014-12-15 00:35:23.887,86.95652,13.15789
2014-12-15 00:35:44.558,86.95652,13.15789
2014-12-15 00:36:05.108,86.95652,13.15789
2014-12-15 00:36:25.698,86.61003,13.15789
2014-12-15 00:36:46.646,88.49558,13.15789
2014-12-15 00:37:07.444,86.95652,13.15789
2014-12-15 00:37:28.659,87.7193,13.15789
2014-12-15 00:37:50.063,89.28571,11.62791
2014-12-15 00:38:10.677,87.7193,11.90476
2014-12-15 00:38:31.619,86.64526,11.90476
2014-12-15 00:38:57.273,79.98922,11.90476
2014-12-15 00:39:18.041,73.49609,11.90476
2014-12-15 00:39:39.200,72.6375,27.77778
2014-12-15 00:39:59.728,71.18243,27.77778
2014-12-15 00:40:20.431,66.44617,33.57266
2014-12-15 00:40:41.292,65.69764,34.37405
2014-12-15 00:41:01.946,64.73956,34.48276
2014-12-15 00:41:22.975,64.68944,35.71429
2014-12-15 00:41:43.638,64.60725,35.71429
2014-12-15 00:42:04.315,64.84493,35.71429
2014-12-15 00:42:26.143,64.99986,35.71429
2014-12-15 00:42:47.252,64.91975,35.71429
2014-12-15 00:43:07.909,62.86753,35.71429
2014-12-15 00:43:28.736,61.16814,39.0625
2014-12-15 00:43:50.506,60.86773,39.0625
2014-12-15 00:44:11.194,59.02716,43.85965
2014-12-15 00:44:31.782,62.97939,43.85965
2014-12-15 00:44:52.573,63.75726,43.85965
2014-12-15 00:45:18.193,64.45934,43.85965
2014-12-15 00:45:38.685,70.0602,30.76923
2014-12-15 00:45:59.792,69.89349,30.76923
2014-12-15 00:46:20.315,69.65976,30.76923
2014-12-15 00:46:40.889,69.74552,30.76923
2014-12-15 00:47:02.237,68.80025,31.25
2014-12-15 00:47:22.921,69.07819,31.25
2014-12-15 00:47:43.747,69.9132,31.25
2014-12-15 00:48:04.300,68.51859,31.25
