date,LA Lakers,Minnesota
2014-12-15 01:31:49.677,92.72796,0
2014-12-15 01:32:10.513,1677.137,0
2014-12-15 01:32:31.439,133.6952,37.35895
2014-12-15 01:32:52.172,2699.071,0
2014-12-15 01:33:12.786,13301.74,0
2014-12-15 01:33:33.301,6102.228,10.47035
2014-12-15 01:33:54.165,613.1784,3.508478
2014-12-15 01:34:14.704,4487.134,0
2014-12-15 01:34:35.468,6756.219,84.20279
2014-12-15 01:34:56.197,219.3725,0.8104539
2014-12-15 01:35:16.676,845.7227,31.26121
2014-12-15 01:35:37.326,6000.552,105.935
2014-12-15 01:35:58.204,1008.562,0
2014-12-15 01:36:18.681,1230.753,11.72034
2014-12-15 01:36:39.346,580.6832,0
2014-12-15 01:37:00.857,5319.506,0
2014-12-15 01:37:21.553,2808.096,0
2014-12-15 01:37:42.090,362.3379,70.11862
2014-12-15 01:38:03.082,1968.497,37.41379
2014-12-15 01:38:23.910,913.3747,0
2014-12-15 01:38:44.514,13564.25,0
2014-12-15 01:39:05.573,4548.131,19.88671
2014-12-15 01:39:26.341,4714.234,0
2014-12-15 01:39:46.936,1039.167,0
2014-12-15 01:40:07.517,39.91126,0
2014-12-15 01:40:28.114,6473.371,0
2014-12-15 01:40:48.704,1515.428,0
2014-12-15 01:41:09.469,1850.723,0
2014-12-15 01:41:30.442,902.8136,21.59909
2014-12-15 01:41:51.174,120.7412,0
2014-12-15 01:42:11.947,127.0885,0
2014-12-15 01:42:32.484,42.2165,0
2014-12-15 01:42:53.078,30770.99,46.17754
2014-12-15 01:43:13.685,13928.63,0
2014-12-15 01:43:34.402,4986.238,0
2014-12-15 01:43:54.886,464.3162,156.2366
2014-12-15 01:44:15.482,7817.106,168.5533
2014-12-15 01:44:36.608,2037.953,195.4026
2014-12-15 01:44:57.578,7674.211,0
2014-12-15 01:45:18.181,7562.833,72.80636
2014-12-15 01:45:38.698,21111.2,0
2014-12-15 01:46:01.774,14727.91,26.00124
2014-12-15 01:46:22.321,20150.44,507.1834
