date,Draw,England,South Africa
2014-11-15 14:55:55.347,12.71528,1140.472,16591.84
2014-11-15 14:56:15.893,77.53363,640.9155,5640.973
2014-11-15 14:56:36.564,185.3591,1527.079,4881.509
2014-11-15 14:56:57.108,153.7987,1321.045,6131.912
2014-11-15 14:57:17.749,74.4728,2964.378,2146.863
2014-11-15 14:57:38.331,20.69777,167.5354,839.6008
2014-11-15 14:57:58.938,70.78221,382.0376,349.2815
2014-11-15 14:58:19.672,65.45756,270.801,2922.324
2014-11-15 14:58:40.502,31.53992,254.8829,780.4907
2014-11-15 14:59:01.181,17.38066,164.1152,730.9451
2014-11-15 14:59:22.359,3.881338,91.99053,315.9465
2014-11-15 14:59:42.903,15.21572,722.8488,56.62817
2014-11-15 15:00:03.552,28.70919,623.7274,1359.967
2014-11-15 15:00:24.271,75.98822,75.32217,639.3552
2014-11-15 15:00:45.151,53.8788,417.5248,1485.59
2014-11-15 15:01:05.980,154.1952,1689.378,2734.092
2014-11-15 15:01:26.737,72.93148,1258.769,5313.013
2014-11-15 15:01:47.474,85.43936,701.8874,18799.93
2014-11-15 15:02:08.115,10.52307,101.7424,9972.931
2014-11-15 15:02:28.684,0,639.5092,4864.808
2014-11-15 15:02:49.373,48.31697,705.6713,4585.588
2014-11-15 15:03:10.128,15.72617,713.0545,5087.039
2014-11-15 15:03:31.248,59.03442,2471.576,6625.633
2014-11-15 15:03:51.938,324.3787,9214.779,7083.177
2014-11-15 15:04:12.575,260.5438,2511.99,9458.459
2014-11-15 15:04:33.121,37.6703,586.7222,1786.915
2014-11-15 15:04:53.920,0,708.7358,2970.413
2014-11-15 15:05:14.569,0,1968.341,64.68152
2014-11-15 15:05:35.286,28.96155,25.02278,1520.539
2014-11-15 15:05:55.984,237.6764,214.3987,9.218332
2014-11-15 15:06:17.221,151.6272,661.9952,180.8113
2014-11-15 15:06:38.222,128.7933,1742.424,9574.562
2014-11-15 15:07:03.939,11.969,627.8241,1757.063
2014-11-15 15:07:24.938,24.65797,687.9945,1481.593
2014-11-15 15:07:45.630,4.842605,3094.251,8731.74
2014-11-15 15:08:06.488,12.59909,170.4616,4527.79
2014-11-15 15:08:27.568,172.3493,2519.459,9168.185
2014-11-15 15:08:48.440,501.2763,4229.17,12762.54
2014-11-15 15:09:09.076,53.64367,1529.644,1608.99
2014-11-15 15:09:29.947,586.6528,3191.705,12082.94
2014-11-15 15:09:50.679,232.4842,983.7961,3475.425
2014-11-15 15:10:11.510,176.7638,148.5081,1187.719
2014-11-15 15:10:32.499,44.4228,305.4425,2447.027
2014-11-15 15:10:53.142,30.05411,185.4693,569.7783
2014-11-15 15:11:13.819,19.18122,166.7402,2897.583
2014-11-15 15:11:37.468,27.07007,189.6935,2306.03
2014-11-15 15:12:06.004,24.36955,25.23163,2417.316
2014-11-15 15:12:26.784,358.7289,0,871.7019
2014-11-15 15:12:48.053,0,43.66924,4727.9
2014-11-15 15:13:08.751,7.710788,57.97585,548.7414
2014-11-15 15:13:29.488,217.9883,86.80182,252.9116
2014-11-15 15:13:51.628,86.72207,0,1630.89
2014-11-15 15:14:12.808,8.951902,62.32337,4570.314
2014-11-15 15:14:33.819,26.35782,102.7469,13435.66
2014-11-15 15:14:54.700,103.555,716.2359,5627.396
2014-11-15 15:15:15.414,445.9109,2978.861,8320.609
2014-11-15 15:15:36.219,29.70423,204.3247,11263.01
2014-11-15 15:15:57.219,23.80045,152.7743,15557.95
2014-11-15 15:16:18.409,11.63757,150.4672,4.813593
2014-11-15 15:16:39.121,20.10401,587.9698,321.5482
2014-11-15 15:17:00.137,187.3392,549.3988,407.2243
2014-11-15 15:17:20.872,51.65265,1066.041,2116.196
2014-11-15 15:17:41.728,100.0843,578.93,9773.111
2014-11-15 15:18:03.387,897.1031,1448.54,15151.83
2014-11-15 15:18:24.318,446.9298,2546.304,4366.645
2014-11-15 15:18:44.992,757.6364,395.3024,817.1595
2014-11-15 15:19:05.848,510.5983,1661.027,4289.566
2014-11-15 15:19:26.714,345.0533,1843.045,569.338
2014-11-15 15:19:47.550,11.5188,683.0646,321.2304
2014-11-15 15:20:08.540,215.9557,1740.994,2214.553
2014-11-15 15:20:29.164,8.553118,100.9792,125.9112
2014-11-15 15:20:50.056,48.62245,396.9062,772.8184
2014-11-15 15:21:10.758,291.9993,1800.223,5653.426
2014-11-15 15:21:31.639,1.982685,386.1351,28.73457
2014-11-15 15:21:52.422,5.312091,166.7823,118.6848
2014-11-15 15:22:14.783,35.44559,301.4888,852.7066
2014-11-15 15:22:35.536,24.34333,826.9505,1168.104
2014-11-15 15:22:56.319,23.99027,1465.312,386.356
2014-11-15 15:23:17.178,90.89834,201.6735,170.6645
2014-11-15 15:23:38.011,74.85128,448.0421,917.1945
2014-11-15 15:23:59.463,221.4871,1988.797,9221.908
2014-11-15 15:24:20.426,50.46083,471.1204,772.8835
2014-11-15 15:24:41.466,155.8768,1486.219,1065.785
2014-11-15 15:25:02.719,118.7963,2217.013,1685.563
2014-11-15 15:25:23.680,48.40326,517.0361,493.7648
2014-11-15 15:25:44.476,96.19102,228.5619,80.7843
2014-11-15 15:26:05.091,50.99327,766.0923,426.5738
2014-11-15 15:26:25.983,91.92761,119.6409,149.6803
2014-11-15 15:26:46.756,65.56636,585.2447,0
2014-11-15 15:27:07.660,85.87745,1170.252,904.0381
2014-11-15 15:27:28.413,0,291.0544,0
2014-11-15 15:27:49.624,113.4306,1491.541,4.186465
2014-11-15 15:28:10.564,13.66823,142.3559,283.6516
2014-11-15 15:28:31.191,11.63527,299.7536,34.9058
2014-11-15 15:28:52.227,55.70217,498.3533,1819.661
2014-11-15 15:29:12.976,26.69116,1520.587,915.2206
2014-11-15 15:29:33.631,64.02264,479.2693,1226.684
2014-11-15 15:29:54.374,120.7611,234.5224,436.7068
2014-11-15 15:30:15.073,136.0099,2243.09,3618.639
2014-11-15 15:30:35.847,7.336009,787.5812,146.9223
2014-11-15 15:30:57.528,77.54247,1907.65,718.9975
2014-11-15 15:31:18.163,447.5306,4181.74,893.4037
2014-11-15 15:31:38.834,102.4017,4029.193,46.44068
2014-11-15 15:31:59.502,562.0165,3915.536,29993.29
2014-11-15 15:32:32.462,146.7021,1038.602,15571.89
2014-11-15 15:32:53.439,17.1906,504.5912,4445.871
2014-11-15 15:33:14.439,46.88535,664.3948,14941.34
2014-11-15 15:33:35.174,26.30329,2646.215,14077.35
2014-11-15 15:33:56.119,616.2241,3207.826,86275.55
2014-11-15 15:34:16.959,10.59511,54.90456,23776.21
2014-11-15 15:34:37.564,161.1697,708.2441,43511.72
2014-11-15 15:34:58.209,7.498092,111.367,11358.65
2014-11-15 15:35:20.332,51.50374,365.8691,10052.88
2014-11-15 15:35:41.017,93.72259,643.411,4436.319
2014-11-15 15:36:01.739,785.9689,94.30468,6295.655
2014-11-15 15:36:22.672,193.3009,252.2313,15935.89
2014-11-15 15:36:43.325,300.4198,1762.98,39310.08
2014-11-15 15:37:03.940,210.6927,799.1712,6931.438
2014-11-15 15:37:24.821,71.11581,1482.944,1701.923
2014-11-15 15:37:45.717,177.6251,1540.595,3789.767
2014-11-15 15:38:06.422,149.532,2394.685,2144.509
2014-11-15 15:38:27.389,393.614,2740.961,860.4565
2014-11-15 15:38:48.232,160.1122,948.1512,4387.686
2014-11-15 15:39:09.279,117.4484,373.4119,1364.027
