date,AndyMurray,VasekPospisil
2015-07-08 13:26:59.002,97.56098,2.325581
2015-07-08 13:27:10.811,97.56098,2.325581
2015-07-08 13:27:22.623,97.56098,2.222222
2015-07-08 13:27:34.398,97.56098,2.222222
2015-07-08 13:27:46.134,97.56098,2.222222
2015-07-08 13:27:57.941,97.56098,2.222222
2015-07-08 13:28:09.766,97.56098,2.325581
2015-07-08 13:28:21.720,97.56098,2.325581
2015-07-08 13:28:33.374,97.56098,2.325581
2015-07-08 13:28:45.242,97.56098,2.325581
2015-07-08 13:28:57.046,97.56098,2.325581
2015-07-08 13:29:08.829,97.56098,2.325581
2015-07-08 13:29:20.605,97.56098,2.325581
2015-07-08 13:29:32.401,97.56098,2.325581
2015-07-08 13:29:44.215,97.56098,2.325581
2015-07-08 13:29:56.023,97.56098,2.325581
2015-07-08 13:30:08.008,97.56098,2.325581
2015-07-08 13:30:19.831,97.56098,2.325581
2015-07-08 13:30:31.554,97.56098,2.325581
2015-07-08 13:30:43.442,97.56098,2.325581
2015-07-08 13:30:55.216,97.56098,2.325581
2015-07-08 13:31:07.015,97.56098,2.325581
2015-07-08 13:31:18.783,97.56098,2.325581
2015-07-08 13:31:30.608,97.56098,2.325581
2015-07-08 13:31:42.409,97.56098,2.325581
2015-07-08 13:31:54.144,97.56098,2.325581
2015-07-08 13:32:05.994,97.56098,2.325581
2015-07-08 13:32:17.771,97.56098,2.325581
2015-07-08 13:32:29.602,97.56098,2.325581
2015-07-08 13:32:41.497,97.56098,2.325581
2015-07-08 13:32:53.190,97.56098,2.325581
2015-07-08 13:33:04.995,97.56098,2.325581
2015-07-08 13:33:16.776,97.56098,2.325581
2015-07-08 13:33:28.604,97.56098,2.325581
2015-07-08 13:33:40.406,97.56098,2.325581
2015-07-08 13:33:52.166,97.56098,2.325581
2015-07-08 13:34:03.815,97.56098,2.325581
2015-07-08 13:34:15.598,97.56098,2.325581
2015-07-08 13:34:27.399,97.56098,2.325581
2015-07-08 13:34:39.186,97.56098,2.325581
2015-07-08 13:34:51.044,97.56098,2.325581
2015-07-08 13:35:02.856,97.56098,2.325581
2015-07-08 13:35:14.541,97.56098,2.325581
2015-07-08 13:35:26.411,97.56098,2.325581
2015-07-08 13:35:38.272,97.56098,2.325581
2015-07-08 13:35:50.030,97.56098,2.325581
2015-07-08 13:36:01.789,97.56098,2.325581
2015-07-08 13:36:13.602,97.56098,2.325581
2015-07-08 13:36:25.375,97.56098,2.325581
2015-07-08 13:36:37.228,97.56098,2.325581
2015-07-08 13:36:49.003,97.56098,2.325581
2015-07-08 13:37:00.774,97.56098,2.325581
2015-07-08 13:37:12.576,97.56098,2.325581
2015-07-08 13:37:24.487,97.56098,2.325581
2015-07-08 13:37:36.161,97.56098,2.325581
2015-07-08 13:37:48.018,97.56098,2.325581
2015-07-08 13:37:59.902,97.56098,2.222222
2015-07-08 13:38:11.573,97.56098,2.222222
2015-07-08 13:38:23.411,97.56098,2.222222
2015-07-08 13:38:35.195,97.56098,2.222222
2015-07-08 13:38:47.014,97.56098,2.222222
2015-07-08 13:38:58.840,97.56098,2.222222
2015-07-08 13:39:10.625,97.56098,2.222222
2015-07-08 13:39:22.396,97.56098,2.222222
2015-07-08 13:39:34.167,97.56098,2.222222
2015-07-08 13:39:45.998,97.56098,2.222222
2015-07-08 13:39:57.802,97.56098,2.222222
2015-07-08 13:40:09.592,97.56098,2.222222
2015-07-08 13:40:21.388,97.56098,2.222222
2015-07-08 13:40:33.199,97.56098,2.222222
2015-07-08 13:40:44.991,97.56098,2.222222
2015-07-08 13:40:56.803,97.56098,2.222222
2015-07-08 13:41:08.669,97.56098,2.222222
2015-07-08 13:41:20.385,97.56098,2.222222
2015-07-08 13:41:32.206,97.56098,2.222222
2015-07-08 13:41:43.986,97.56098,2.222222
2015-07-08 13:41:55.820,97.56098,2.222222
2015-07-08 13:42:07.608,97.56098,2.222222
2015-07-08 13:42:19.394,97.56098,2.222222
2015-07-08 13:42:31.348,97.56098,2.222222
2015-07-08 13:42:43.209,97.56098,2.222222
2015-07-08 13:42:55.015,97.56098,2.222222
2015-07-08 13:43:06.756,97.56098,2.222222
2015-07-08 13:43:18.563,97.56098,2.222222
2015-07-08 13:43:30.418,97.56098,2.222222
2015-07-08 13:43:42.140,97.56098,2.222222
2015-07-08 13:43:53.802,97.56098,2.222222
2015-07-08 13:44:05.610,97.56098,2.222222
2015-07-08 13:44:17.404,97.56098,2.222222
2015-07-08 13:44:29.308,97.56098,2.222222
2015-07-08 13:44:41.034,97.56098,2.222222
2015-07-08 13:44:52.806,97.56098,2.222222
2015-07-08 13:45:04.689,97.56098,2.222222
2015-07-08 13:45:16.402,97.56098,2.222222
2015-07-08 13:45:28.199,97.56098,2.222222
2015-07-08 13:45:40.007,97.56098,2.222222
2015-07-08 13:45:51.645,97.56098,2.222222
2015-07-08 13:46:03.384,97.56098,2.222222
2015-07-08 13:46:15.389,97.56098,2.222222
2015-07-08 13:46:27.205,97.56098,2.222222
2015-07-08 13:46:38.987,97.56098,2.222222
2015-07-08 13:46:50.809,97.56098,2.222222
2015-07-08 13:47:02.585,97.56098,2.222222
2015-07-08 13:47:14.395,97.56098,2.222222
2015-07-08 13:47:26.212,97.56098,2.222222
2015-07-08 13:47:37.992,97.56098,2.222222
2015-07-08 13:47:49.805,97.56098,2.222222
2015-07-08 13:48:01.575,97.56098,2.222222
2015-07-08 13:48:13.416,97.56098,2.222222
2015-07-08 13:48:25.380,97.56098,2.222222
2015-07-08 13:48:37.155,97.56098,2.222222
2015-07-08 13:48:49.000,97.56098,2.222222
2015-07-08 13:49:00.814,97.56098,2.222222
2015-07-08 13:49:12.615,97.56098,2.222222
2015-07-08 13:49:24.363,97.56098,2.222222
2015-07-08 13:49:36.288,97.56098,2.222222
2015-07-08 13:49:48.031,97.56098,2.222222
2015-07-08 13:49:59.785,97.56098,2.222222
2015-07-08 13:50:11.584,97.56098,2.222222
2015-07-08 13:50:23.431,97.56098,2.222222
2015-07-08 13:50:35.231,97.56098,2.222222
2015-07-08 13:50:46.975,97.56098,2.222222
2015-07-08 13:50:58.783,97.56098,2.272727
2015-07-08 13:51:10.618,97.56098,2.272727
2015-07-08 13:51:22.405,97.56098,2.272727
2015-07-08 13:51:34.224,97.56098,2.272727
