date,Jo-Wilfried Tsonga,Stanislas Wawrinka
2014-11-21 13:30:10.829,322.9307,55253.08
2014-11-21 13:30:26.610,76.03945,21569.24
2014-11-21 13:30:43.074,-62.57635,28491.84
2014-11-21 13:30:58.838,153.7241,42293.84
2014-11-21 13:31:14.598,22.3862,10097.05
2014-11-21 13:31:30.580,104.589,66890.61
2014-11-21 13:31:46.408,36.42927,65640.66
2014-11-21 13:32:02.203,261.6599,363243.6
2014-11-21 13:32:18.187,201.2729,64736.75
2014-11-21 13:32:34.025,47.35373,89642.51
2014-11-21 13:32:49.829,76.27533,10520.53
2014-11-21 13:33:05.585,314.5691,37428.2
2014-11-21 13:33:21.859,5305.197,51937.27
2014-11-21 13:33:37.578,0,17401.69
2014-11-21 13:33:53.463,16.50688,36691.35
2014-11-21 13:34:09.280,1273.263,164441.4
2014-11-21 13:34:25.960,172.5221,31725.8
2014-11-21 13:34:41.608,48.88865,88959.13
2014-11-21 13:34:57.425,241.8963,103174.2
2014-11-21 13:35:13.314,84.47431,62828.08
2014-11-21 13:35:29.070,12.94745,153758.4
2014-11-21 13:35:44.795,125.0784,50210.07
2014-11-21 13:36:00.618,15.0157,12453.48
2014-11-21 13:36:16.410,30.12904,39565.21
2014-11-21 13:36:32.188,124.5449,45920.18
2014-11-21 13:36:48.247,416.0465,12749.2
2014-11-21 13:37:03.979,38.13972,4036.517
2014-11-21 13:37:19.830,209.3638,9516.875
2014-11-21 13:37:35.671,180.1433,3341.402
2014-11-21 13:38:00.901,6792.866,320384.4
2014-11-21 13:38:16.588,363.8536,41755.35
2014-11-21 13:38:32.381,388.797,20005.69
2014-11-21 13:38:48.399,910.566,92348.73
2014-11-21 13:39:04.244,456.8239,41262.06
2014-11-21 13:39:20.059,1778.831,24904.62
2014-11-21 13:39:37.096,1843.464,10794.01
2014-11-21 13:39:53.551,504.4138,82085.47
2014-11-21 13:40:09.242,442.7911,173878.2
2014-11-21 13:40:25.062,888.9221,76914.06
2014-11-21 13:40:41.249,542.6128,243594.4
2014-11-21 13:40:57.304,436.7604,60069.07
2014-11-21 13:41:13.099,406.9857,41377.35
2014-11-21 13:41:28.999,11.9624,26127.34
2014-11-21 13:41:45.076,520.5395,89447.18
2014-11-21 13:42:00.844,138.053,196457.6
2014-11-21 13:42:16.805,0,26004.92
2014-11-21 13:42:32.551,243.2669,44828.52
2014-11-21 13:42:48.180,0,17216.88
2014-11-21 13:43:04.055,878.5433,151655.7
2014-11-21 13:43:19.817,213.5192,19264.24
2014-11-21 13:43:35.572,18.12688,22862.26
2014-11-21 13:43:51.376,30.86714,42833.91
2014-11-21 13:44:07.311,130.2012,81883.9
2014-11-21 13:44:22.999,0,20469.07
2014-11-21 13:44:39.390,36.60382,17377.44
2014-11-21 13:44:55.220,1313.864,25162.91
2014-11-21 13:45:11.004,811.0724,23215.69
2014-11-21 13:45:27.026,52.72592,10894.31
2014-11-21 13:45:42.832,46.80535,17144.19
2014-11-21 13:45:59.165,0,55169.59
2014-11-21 13:46:14.804,4.872533,76844.18
2014-11-21 13:46:30.619,725.7966,20431.19
2014-11-21 13:46:46.377,299.1544,17542.82
2014-11-21 13:47:07.709,240.424,37153.89
2014-11-21 13:47:44.334,756.0757,44576.31
2014-11-21 13:48:00.364,1199.502,103935.5
2014-11-21 13:48:15.988,11.52066,1006.445
2014-11-21 13:48:31.805,9.673204,58076.17
2014-11-21 13:48:47.620,159.148,66278.57
2014-11-21 13:49:08.444,29.27392,9345.698
2014-11-21 13:49:24.207,196.5344,2944.629
2014-11-21 13:49:41.405,76.54232,12516.24
2014-11-21 13:49:57.186,42.20136,17042.31
2014-11-21 13:50:12.996,1231.688,24323.62
2014-11-21 13:50:28.871,1408.027,55022.24
2014-11-21 13:50:44.600,145.5677,35515.92
2014-11-21 13:51:00.395,0,23720.67
2014-11-21 13:51:16.207,98.65684,31910.86
2014-11-21 13:51:32.033,18.95685,11064.7
2014-11-21 13:51:48.347,374.1305,8652.922
2014-11-21 13:52:03.979,1067.892,31323.19
2014-11-21 13:52:19.787,64.93979,30598.98
2014-11-21 13:52:35.575,579.0958,5237.135
2014-11-21 13:52:51.380,163.9292,32406.23
2014-11-21 13:53:07.888,772.5358,19313.21
2014-11-21 13:53:23.599,202.7198,11334.05
2014-11-21 13:53:39.382,440.5477,21130.89
2014-11-21 13:53:55.300,699.2885,90121.03
2014-11-21 13:54:10.996,3393.701,35492.27
2014-11-21 13:54:26.838,686.6424,26717.36
2014-11-21 13:54:44.999,389.7134,3082.092
2014-11-21 13:55:00.812,411.8095,7185.626
2014-11-21 13:55:16.601,1699.319,7905.126
2014-11-21 13:55:32.430,7.277718,32097.01
2014-11-21 13:55:48.497,221.2307,46556.55
2014-11-21 13:56:04.196,483.86,14880.95
2014-11-21 13:56:20.131,103.7321,63219.23
2014-11-21 13:56:35.878,0,20641.62
2014-11-21 13:56:51.612,49.26711,23345.06
2014-11-21 13:57:07.457,37.86794,72707.89
2014-11-21 13:57:23.537,0,96238.12
2014-11-21 13:57:39.304,19.02681,37048.21
2014-11-21 13:57:55.255,30.99465,25162.39
2014-11-21 13:58:11.046,572.0024,26841.94
2014-11-21 13:58:26.850,0,22118.86
2014-11-21 13:58:42.982,280.9991,33217.15
2014-11-21 13:59:04.181,292.0049,26060.84
2014-11-21 13:59:20.058,59.74606,47428.59
2014-11-21 13:59:37.060,972.951,43335.02
2014-11-21 13:59:52.850,3556.802,29183.04
2014-11-21 14:00:08.706,204.9145,1627.093
2014-11-21 14:00:25.087,347.0541,66004.49
2014-11-21 14:00:40.887,73.13808,112430.7
2014-11-21 14:00:57.090,703.3231,56997.72
2014-11-21 14:01:12.831,1156.051,215095.4
2014-11-21 14:01:28.625,1591.869,59296.21
2014-11-21 14:01:44.617,2315.435,40851.59
2014-11-21 14:02:00.494,1428.864,118979.3
2014-11-21 14:02:16.230,30.54147,9283.235
2014-11-21 14:02:32.043,4556.989,52813.87
2014-11-21 14:02:48.629,752.9619,50819.36
2014-11-21 14:03:04.999,29.06411,39689.81
2014-11-21 14:03:20.814,15008.23,81053.54
2014-11-21 14:03:36.726,588.1055,86643.21
2014-11-21 14:03:52.459,721.2237,86211.52
2014-11-21 14:04:08.237,168.5769,40965.36
2014-11-21 14:04:24.037,883.366,35406.22
2014-11-21 14:04:40.169,2364.69,27544.9
2014-11-21 14:04:55.900,961.1737,40012.57
2014-11-21 14:05:11.716,2003.655,14052.03
2014-11-21 14:05:27.426,4786.454,39968.21
2014-11-21 14:05:43.735,3757.073,7576.54
2014-11-21 14:05:59.464,14091.52,9446.48
2014-11-21 14:06:15.330,0,18559.78
2014-11-21 14:06:31.038,516.765,27659.63
2014-11-21 14:06:46.876,7413.312,40340.05
2014-11-21 14:07:03.068,54.69569,7281.049
2014-11-21 14:07:18.851,211.6228,2725.893
2014-11-21 14:07:35.154,1160.885,28820.63
2014-11-21 14:08:03.966,1311.025,22432.2
2014-11-21 14:08:19.575,358.6506,6396.358
2014-11-21 14:08:35.381,95.88669,153217.7
2014-11-21 14:08:51.291,256.5642,3294.793
2014-11-21 14:09:07.024,2123.426,24440.45
2014-11-21 14:09:22.801,334.0255,19748.77
2014-11-21 14:09:38.660,697.6701,19261.95
2014-11-21 14:09:54.438,127.0876,8015.57
2014-11-21 14:10:10.220,2042.11,32168.78
2014-11-21 14:10:26.423,207.4414,58283.68
2014-11-21 14:10:42.838,46135.1,125336.5
2014-11-21 14:10:58.589,1538.48,59332.95
2014-11-21 14:11:14.399,0,31814.07
2014-11-21 14:11:30.284,2083.503,25045.81
2014-11-21 14:11:46.024,540.1606,74937.2
2014-11-21 14:12:01.839,4872.375,22639.71
2014-11-21 14:12:17.646,616.0458,6272.014
2014-11-21 14:12:33.428,9376.447,83949.62
2014-11-21 14:12:49.459,785.2748,3954.144
2014-11-21 14:13:05.240,5917.954,15681.79
2014-11-21 14:13:21.323,1692.964,17176.31
2014-11-21 14:13:37.037,582.6083,1862.835
2014-11-21 14:13:52.782,152.5764,20269.53
2014-11-21 14:14:08.571,0,23792.76
2014-11-21 14:14:24.413,312.0081,52533.56
2014-11-21 14:14:40.229,0,10644.88
2014-11-21 14:14:56.024,254.1339,35063.64
2014-11-21 14:15:11.781,170.928,10732.29
2014-11-21 14:15:27.560,406.3921,9113.799
2014-11-21 14:15:43.260,0,54441
2014-11-21 14:15:58.999,1921.41,193906.1
2014-11-21 14:16:14.851,105.1474,53757.53
2014-11-21 14:16:30.593,190.9169,23214.61
2014-11-21 14:16:46.398,292.973,5941.008
2014-11-21 14:17:02.334,0,5778.222
2014-11-21 14:17:18.175,539.3202,5233.743
2014-11-21 14:17:34.838,401.7959,87483.23
2014-11-21 14:17:50.597,55.24396,18659.51
2014-11-21 14:18:06.382,4952.696,28498.89
2014-11-21 14:18:22.275,907.5321,43526.96
2014-11-21 14:18:38.009,643.7008,4085.187
2014-11-21 14:18:53.839,447.1219,22066.07
2014-11-21 14:19:09.641,65.84054,5697.827
2014-11-21 14:19:25.387,4181.642,209181
2014-11-21 14:19:41.231,7909.412,245010.3
2014-11-21 14:19:57.042,1309.145,27408.72
2014-11-21 14:20:12.916,5395.307,1756.732
2014-11-21 14:20:28.621,531.5177,85182.74
2014-11-21 14:20:44.391,1369.833,31026.86
2014-11-21 14:21:00.185,1939.737,37853.75
2014-11-21 14:21:16.060,1523.302,7957.169
2014-11-21 14:21:31.819,2309.705,6762.047
2014-11-21 14:21:47.611,654.7367,48798.04
2014-11-21 14:22:03.391,550.25,7733.841
2014-11-21 14:22:19.242,7588.21,19859.04
2014-11-21 14:22:35.000,509.3171,18470.67
2014-11-21 14:22:51.101,193.7768,10057.5
2014-11-21 14:23:07.236,18149.28,141246.2
2014-11-21 14:23:23.032,266.9176,77175.71
2014-11-21 14:23:39.331,1062.126,77512.95
2014-11-21 14:23:55.050,386.8016,71988.84
2014-11-21 14:24:11.287,760.1156,34526.17
2014-11-21 14:24:27.377,1366.191,15471.66
2014-11-21 14:24:43.304,5304.968,229625
2014-11-21 14:24:59.093,2407.324,21173.07
2014-11-21 14:25:14.826,389.8325,14589.43
2014-11-21 14:25:30.781,3975.939,45429.53
2014-11-21 14:25:46.615,242.0137,72313.91
2014-11-21 14:26:02.536,1156.686,15668.81
2014-11-21 14:26:18.198,1178.523,8670.99
2014-11-21 14:26:34.063,18.00144,2856.027
2014-11-21 14:26:49.863,37.97596,23289.06
2014-11-21 14:27:05.775,207.8345,63478.87
2014-11-21 14:27:21.688,328.7551,53125.83
2014-11-21 14:27:37.432,0,81630.9
2014-11-21 14:27:53.209,5797.855,265638.1
2014-11-21 14:28:09.460,14.21403,63299.66
2014-11-21 14:28:31.423,5.217818,57202.97
2014-11-21 14:28:47.182,2233.618,39859.98
2014-11-21 14:29:02.993,1026.243,26449.16
2014-11-21 14:29:18.869,5946.009,57656.1
2014-11-21 14:29:34.795,5199.032,92725.23
2014-11-21 14:29:50.853,4565.575,36217.47
2014-11-21 14:30:06.641,1530.274,57888.71
2014-11-21 14:30:22.458,894.2058,20712.74
2014-11-21 14:30:38.227,742.4174,42162.17
2014-11-21 14:30:54.130,4266.451,75489.83
2014-11-21 14:31:09.845,0,15147.3
2014-11-21 14:31:25.973,1138.709,27787.8
2014-11-21 14:31:41.861,662.9706,22466
2014-11-21 14:31:57.643,0,12977.86
2014-11-21 14:32:13.464,59.42826,37342.34
2014-11-21 14:32:29.366,989.2276,18827.13
2014-11-21 14:32:45.537,0.7420866,34581.87
2014-11-21 14:33:01.240,11.76786,11464.65
2014-11-21 14:33:17.058,20.74847,17300.89
2014-11-21 14:33:32.886,511.4371,88349.04
2014-11-21 14:33:48.652,1944.921,132553.7
2014-11-21 14:34:04.485,7303.487,70329.75
2014-11-21 14:34:20.271,1608.134,108866.4
2014-11-21 14:34:36.285,1002.757,13078.52
2014-11-21 14:34:53.296,2659.426,45722.37
2014-11-21 14:35:09.020,1194.764,7987.214
2014-11-21 14:35:24.883,3459.784,6943.056
2014-11-21 14:35:40.923,282.8291,2773.865
2014-11-21 14:35:56.647,183.2435,19095.6
2014-11-21 14:36:12.497,55.37947,12549.49
2014-11-21 14:36:28.313,450.7783,83638.64
2014-11-21 14:36:45.247,510.1144,13435.53
2014-11-21 14:37:01.374,1527.586,20094.57
2014-11-21 14:37:17.263,748.383,7727.891
2014-11-21 14:37:33.172,255.5865,89590.04
2014-11-21 14:37:49.047,1652.623,12720.88
2014-11-21 14:38:04.856,62.73771,4041.06
2014-11-21 14:38:20.620,1591.172,29902.39
2014-11-21 14:38:36.508,6088.173,66756.07
2014-11-21 14:38:52.244,477.4143,79340.45
2014-11-21 14:39:08.117,565.5966,62381.22
2014-11-21 14:39:23.905,1248.067,16705.5
2014-11-21 14:39:39.644,1563.633,24758.59
2014-11-21 14:39:56.980,3800.721,112018.6
2014-11-21 14:40:13.004,695.4538,23036.21
2014-11-21 14:40:28.873,158.5778,18804.25
2014-11-21 14:40:44.703,0,13215.5
2014-11-21 14:41:00.484,0,40441.45
2014-11-21 14:41:16.528,5.759094,12915.22
2014-11-21 14:41:32.274,56.43627,10224.15
2014-11-21 14:41:48.090,356.243,72933.61
2014-11-21 14:42:03.863,1528.289,34278.18
2014-11-21 14:42:19.639,14744.59,9383.037
2014-11-21 14:42:35.526,1187.255,23844.17
2014-11-21 14:42:51.607,2027.228,9196.141
2014-11-21 14:43:07.421,357.1759,44460.55
2014-11-21 14:43:23.260,49.77479,8281.935
2014-11-21 14:43:39.054,919.5715,8273.104
2014-11-21 14:43:54.914,710.8174,54417.71
2014-11-21 14:44:10.649,1531.301,31654.87
2014-11-21 14:44:26.454,119.6646,29793.35
2014-11-21 14:44:42.293,9174.296,38584.16
2014-11-21 14:44:59.155,466.7297,64148.84
2014-11-21 14:45:14.814,1791.348,55997.18
2014-11-21 14:45:30.635,942.3796,29848.9
2014-11-21 14:45:46.442,272.9908,150614.4
2014-11-21 14:46:03.171,1902.269,19277.74
2014-11-21 14:46:19.075,617.9612,55014.32
2014-11-21 14:46:34.837,423.7576,66594.84
2014-11-21 14:46:50.691,273.9643,81690.11
2014-11-21 14:47:06.486,199.6184,60730.87
2014-11-21 14:47:22.504,1910.612,231814.5
2014-11-21 14:47:38.195,1493.687,284746.6
2014-11-21 14:47:54.088,2228.746,137246.5
2014-11-21 14:48:09.845,654.3341,120795.4
2014-11-21 14:48:25.641,35.55292,46194.02
2014-11-21 14:48:46.719,67.80658,107900.6
2014-11-21 14:49:02.404,819.2116,123176.1
2014-11-21 14:49:18.241,540.8938,169069.4
2014-11-21 14:49:34.012,0,38973.24
2014-11-21 14:49:49.844,32.51576,42951.69
2014-11-21 14:50:07.293,452.6214,54878.26
2014-11-21 14:50:23.021,6670.064,134263.2
2014-11-21 14:50:38.832,935.2954,113806
2014-11-21 14:50:54.668,3769.565,85990.74
2014-11-21 14:51:10.435,611.4305,38677.55
2014-11-21 14:51:26.528,477.1236,9577.482
2014-11-21 14:51:42.248,454.1474,72778.05
2014-11-21 14:51:58.161,80.99285,12566.22
2014-11-21 14:52:13.844,229.2789,109894.3
2014-11-21 14:52:29.680,417.7499,105469.8
2014-11-21 14:52:45.716,1.534106,30530.08
2014-11-21 14:53:01.792,109.8003,28913.97
2014-11-21 14:53:17.837,194.2723,31206.49
2014-11-21 14:53:33.906,360.1543,74100.57
2014-11-21 14:53:49.757,16.20184,23071.05
2014-11-21 14:54:05.647,209.4088,53237.15
2014-11-21 14:54:21.484,141.6133,102626.9
2014-11-21 14:54:37.325,9.015038,29366.68
2014-11-21 14:54:53.092,197.7618,42403.41
2014-11-21 14:55:10.929,51.93869,71011.29
2014-11-21 14:55:27.066,260.3709,67260.57
2014-11-21 14:55:42.989,224.5071,30383.37
2014-11-21 14:55:59.001,837.1531,21882.78
2014-11-21 14:56:15.036,644.2707,19931.57
2014-11-21 14:56:31.251,1177.982,50765.13
2014-11-21 14:56:47.441,0,26056.09
2014-11-21 14:57:03.329,71.97686,114472.6
2014-11-21 14:57:19.133,60.17437,51755.69
2014-11-21 14:57:34.852,1768.833,167082.3
2014-11-21 14:57:51.019,95.37786,63250.77
2014-11-21 14:58:07.241,581.2845,64048
2014-11-21 14:58:23.192,1154.732,80675.48
2014-11-21 14:58:39.511,1892.618,149994.4
2014-11-21 14:58:55.425,137.5003,118436.8
2014-11-21 14:59:11.843,43.37946,40436.52
2014-11-21 14:59:28.036,0,10031.41
2014-11-21 14:59:44.611,34.60785,81748.09
2014-11-21 15:00:00.546,217.8961,22038.16
2014-11-21 15:00:18.414,2344.382,70537.38
2014-11-21 15:00:34.241,2775.87,94781.64
2014-11-21 15:00:50.118,0,96968.71
2014-11-21 15:01:05.863,214.5805,115603.4
2014-11-21 15:01:21.761,30.75931,22217.35
2014-11-21 15:01:37.589,38.5517,37691.17
2014-11-21 15:01:53.524,335.2122,90847.22
2014-11-21 15:02:09.270,995.3262,69063.41
2014-11-21 15:02:25.129,1596.548,84986.65
2014-11-21 15:02:41.083,2275.359,116454.4
2014-11-21 15:02:56.944,0,15153.38
2014-11-21 15:03:13.012,2225.504,8545.818
2014-11-21 15:03:28.850,2161.985,17012.44
2014-11-21 15:03:44.659,1907.714,29721.88
2014-11-21 15:04:00.488,554.4481,93088.64
2014-11-21 15:04:16.219,3752.517,27291.9
2014-11-21 15:04:32.129,433.503,23410.14
2014-11-21 15:04:47.897,577.1366,40667.64
2014-11-21 15:05:04.193,1367.354,89919.1
2014-11-21 15:05:20.334,63937.96,368140.3
2014-11-21 15:05:36.293,778.136,128354.1
2014-11-21 15:05:52.369,23.88573,241875.3
2014-11-21 15:06:08.010,120.4537,187749.5
2014-11-21 15:06:25.110,256.5294,16275.14
2014-11-21 15:06:41.154,127.1485,63030.63
2014-11-21 15:06:56.874,334.5063,114869.9
2014-11-21 15:07:12.714,429.2109,55700.64
2014-11-21 15:07:28.505,458.288,56771.89
2014-11-21 15:07:44.629,686.1189,106338.4
2014-11-21 15:08:00.413,550.5987,164989.1
2014-11-21 15:08:16.660,1630.031,176408
2014-11-21 15:08:32.469,1868.123,159145.8
