date,Boston,New Orleans
2015-01-13 01:34:22.601,0,29.9536
2015-01-13 01:34:38.462,0,1406.391
2015-01-13 01:34:54.274,0,1013.531
2015-01-13 01:35:09.977,0,0
2015-01-13 01:35:25.736,0,11.8788
2015-01-13 01:35:41.393,0,17.70435
2015-01-13 01:35:57.307,0,0
2015-01-13 01:36:13.009,0,276.4293
2015-01-13 01:36:28.844,0,0
2015-01-13 01:36:44.628,71.20048,367.9388
2015-01-13 01:37:00.466,0,99.85915
2015-01-13 01:37:16.222,0,0
2015-01-13 01:37:32.340,0,169.9294
2015-01-13 01:37:48.214,0,495.6492
2015-01-13 01:38:04.084,0,1746.314
2015-01-13 01:38:24.528,5.869486,747.89
2015-01-13 01:38:40.664,0,263.0367
2015-01-13 01:38:56.398,31.27104,77.10982
2015-01-13 01:39:12.228,0,0
2015-01-13 01:39:30.624,0,65.23288
2015-01-13 01:39:46.402,0,0
2015-01-13 01:40:02.251,1236.357,2169.965
2015-01-13 01:40:17.996,16.80435,29.56956
2015-01-13 01:40:33.872,389.3807,100.2647
2015-01-13 01:40:49.664,0,292.3728
2015-01-13 01:41:05.401,2025.071,0
2015-01-13 01:41:21.199,52.10741,111.4309
2015-01-13 01:41:37.057,2286.96,134.694
2015-01-13 01:41:52.800,1913.566,0
2015-01-13 01:42:08.952,0,0
2015-01-13 01:42:24.817,0,0
2015-01-13 01:42:40.632,0,0
2015-01-13 01:42:56.387,15.99458,232.3403
2015-01-13 01:43:12.192,196.9157,14.57791
2015-01-13 01:43:30.846,423.9224,37.85711
2015-01-13 01:43:46.606,0,88.74438
2015-01-13 01:44:02.398,0,2076.237
2015-01-13 01:44:18.205,0,612.491
2015-01-13 01:44:34.716,0,363.4066
2015-01-13 01:44:50.408,0,0
2015-01-13 01:45:06.202,0,37.98954
2015-01-13 01:45:22.037,0,354.8738
2015-01-13 01:45:37.797,0,0
2015-01-13 01:45:53.592,813.2043,326.163
2015-01-13 01:46:09.420,97.57071,179.941
2015-01-13 01:46:25.702,279.0771,256.2291
2015-01-13 01:46:41.389,532.4574,239.2444
2015-01-13 01:46:57.196,48.96399,0
2015-01-13 01:47:13.007,0,1146.727
2015-01-13 01:47:29.061,48.17389,85.54697
2015-01-13 01:47:45.145,53.94196,10.37058
2015-01-13 01:48:00.905,0,0
2015-01-13 01:48:21.673,0,0
2015-01-13 01:48:40.105,218.2903,1692.124
2015-01-13 01:48:56.015,0,0
2015-01-13 01:49:11.820,911.0602,128.8771
2015-01-13 01:49:27.600,338.6362,362.8571
2015-01-13 01:49:43.505,0,6714.806
2015-01-13 01:49:59.198,373.5222,2662.297
2015-01-13 01:50:14.986,122.7901,143.8822
2015-01-13 01:50:30.811,589.8387,28.20852
2015-01-13 01:50:46.621,0,26.83051
2015-01-13 01:51:02.460,1279.345,3481.652
2015-01-13 01:51:18.552,57.75658,267.1568
2015-01-13 01:51:34.224,164.1204,4963.505
2015-01-13 01:51:49.979,0,59.86752
2015-01-13 01:52:05.590,5327.129,4292.036
2015-01-13 01:52:21.427,0,0
2015-01-13 01:52:37.189,188.5065,268.3325
2015-01-13 01:52:54.007,698.7254,1365.984
2015-01-13 01:53:09.876,73.27519,825.9528
2015-01-13 01:53:25.993,191.5012,2219.464
2015-01-13 01:53:45.728,2541.596,213.3933
2015-01-13 01:54:01.448,0,555.5043
2015-01-13 01:54:17.184,0,15.59463
2015-01-13 01:54:32.995,89.85893,1709.217
2015-01-13 01:54:49.137,182.3273,887.3634
2015-01-13 01:55:04.802,8.503018,1115.389
2015-01-13 01:55:20.675,3.931061,644.0136
2015-01-13 01:55:36.432,23.41815,2648.422
2015-01-13 01:55:52.198,20.09367,3097.012
2015-01-13 01:56:07.969,414.4935,6835.433
2015-01-13 01:56:24.258,0,2113.984
2015-01-13 01:56:40.041,14.82612,2704.702
2015-01-13 01:56:56.436,0,178.7728
2015-01-13 01:57:12.274,3.295997,9.698566
2015-01-13 01:57:28.013,0,237.5646
2015-01-13 01:57:44.336,0,129.9453
2015-01-13 01:58:00.000,525.7362,4432.141
2015-01-13 01:58:15.875,0,390.1298
2015-01-13 01:58:31.584,177.8346,668.0637
2015-01-13 01:58:51.287,99.15319,742.309
2015-01-13 01:59:06.985,159.9541,5571.602
2015-01-13 01:59:22.788,0,1411.856
2015-01-13 01:59:40.729,183.9321,1011.125
2015-01-13 01:59:56.407,487.0243,5248.503
2015-01-13 02:00:12.181,100.916,2239.779
2015-01-13 02:00:27.799,255.7456,753.8292
2015-01-13 02:00:43.812,428.7166,8022.606
2015-01-13 02:00:59.805,17.89508,2581.468
2015-01-13 02:01:15.941,0,0
2015-01-13 02:01:31.644,500.0096,1273.676
2015-01-13 02:01:47.510,16.03459,832.7398
2015-01-13 02:02:03.887,0,426.9445
2015-01-13 02:02:19.603,0,879.7459
2015-01-13 02:02:35.748,721.251,913.9859
2015-01-13 02:02:51.498,0,151.766
2015-01-13 02:03:07.202,404.7768,2352.092
2015-01-13 02:03:23.005,5.96057,49.96248
2015-01-13 02:03:38.839,0,905.6463
2015-01-13 02:03:56.581,5.275675,3257.966
2015-01-13 02:04:12.390,0,1060.282
2015-01-13 02:04:28.231,11.81766,1121.731
2015-01-13 02:04:44.049,0.3413883,1.251757
2015-01-13 02:04:59.808,14.84849,7687.29
2015-01-13 02:05:15.645,0,2081.484
2015-01-13 02:05:31.434,10.37407,2705.656
2015-01-13 02:05:47.618,0,89.01259
2015-01-13 02:06:03.399,0,1139.443
2015-01-13 02:06:19.231,34.03231,2957.931
2015-01-13 02:06:35.121,121.0138,994.9939
2015-01-13 02:06:50.832,76.38305,149.0233
2015-01-13 02:07:06.597,0,25.08043
2015-01-13 02:07:22.705,18.32666,46.52439
2015-01-13 02:07:38.401,0,12.0795
2015-01-13 02:07:54.338,64.75313,1011.09
2015-01-13 02:08:10.549,185.0575,506.5394
2015-01-13 02:08:26.367,0,758.6412
2015-01-13 02:08:48.537,0,0
2015-01-13 02:09:08.630,0,19.67874
2015-01-13 02:09:24.433,5.922923,2675.795
2015-01-13 02:09:40.225,0,1050.039
2015-01-13 02:09:56.007,0,1507.183
2015-01-13 02:10:12.954,0,1132.936
2015-01-13 02:10:28.685,0,1550.757
2015-01-13 02:10:44.437,0,4532.697
2015-01-13 02:11:00.205,10.00746,0
2015-01-13 02:11:16.042,0,1429.354
2015-01-13 02:11:32.003,0.9397937,1469.762
2015-01-13 02:11:48.130,170.2913,2734.334
2015-01-13 02:12:03.846,0,2055.816
2015-01-13 02:12:19.668,0,1686.832
2015-01-13 02:12:35.401,0,0
2015-01-13 02:12:51.235,0,2131.831
2015-01-13 02:13:06.984,0,1570.474
2015-01-13 02:13:22.801,0,2.427659
2015-01-13 02:13:38.634,61.7704,1553.62
2015-01-13 02:13:54.425,0,5706.067
2015-01-13 02:14:14.094,397.5725,4276.23
2015-01-13 02:14:29.785,0,704.2596
2015-01-13 02:14:45.650,0,708.3282
2015-01-13 02:15:01.452,0,645.322
2015-01-13 02:15:17.743,0,28.76477
2015-01-13 02:15:34.002,34.53977,1925.74
2015-01-13 02:15:49.824,0,0
2015-01-13 02:16:05.606,0,507.5191
2015-01-13 02:16:21.385,0,555.8865
2015-01-13 02:16:37.236,64.996,580.3836
2015-01-13 02:16:52.995,0,629.8965
2015-01-13 02:17:08.904,186.014,581.0109
2015-01-13 02:17:24.660,0,29.70276
2015-01-13 02:17:40.405,10.93648,0
2015-01-13 02:17:56.232,1666.792,7067.85
2015-01-13 02:18:12.009,637.0545,2176.147
2015-01-13 02:18:27.788,161.2277,163.205
2015-01-13 02:18:44.168,0,2420.495
2015-01-13 02:18:59.840,0,3313.734
2015-01-13 02:19:18.054,504.7886,1517.759
2015-01-13 02:19:34.389,374.0939,3560.963
2015-01-13 02:19:51.010,289.8742,2270.152
2015-01-13 02:20:06.793,865.0545,4173.436
2015-01-13 02:20:23.649,824.0087,2911.671
2015-01-13 02:20:39.755,665.4032,966.9042
2015-01-13 02:20:55.405,24.07602,1647.942
2015-01-13 02:21:11.233,0,4596.747
2015-01-13 02:21:27.577,150.2538,347.6798
2015-01-13 02:21:43.301,824.9849,9485.094
2015-01-13 02:21:59.038,175.0714,1800.048
2015-01-13 02:22:15.272,46.16186,4702.818
2015-01-13 02:22:31.053,29.69521,143.6853
2015-01-13 02:22:46.806,2.932744,156.3495
2015-01-13 02:23:02.606,0,5695.07
2015-01-13 02:23:18.452,0,2319.413
2015-01-13 02:23:34.249,5.925242,492.8965
2015-01-13 02:23:50.290,72.48808,6152.996
2015-01-13 02:24:06.049,0,237.6957
2015-01-13 02:24:25.123,0,2903.647
2015-01-13 02:24:40.787,0,0
2015-01-13 02:24:56.617,0,1620.922
2015-01-13 02:25:12.443,147.9018,1901.909
2015-01-13 02:25:28.921,117.2427,239.8742
2015-01-13 02:25:45.227,0,24.21221
2015-01-13 02:26:01.069,0,187.173
2015-01-13 02:26:16.835,484.6966,1212.693
2015-01-13 02:26:32.611,255.2699,737.3619
2015-01-13 02:26:48.404,0,0
2015-01-13 02:27:04.247,199.5804,502.8517
2015-01-13 02:27:20.336,0,59.66981
2015-01-13 02:27:36.019,5.968332,1301.632
2015-01-13 02:27:51.810,6.57317,1229.715
2015-01-13 02:28:07.680,80.75516,1777.748
2015-01-13 02:28:23.411,368.8323,2861.635
2015-01-13 02:28:39.216,0,177.1297
2015-01-13 02:28:55.435,0,823.9356
2015-01-13 02:29:18.060,31.02784,8156.239
2015-01-13 02:29:36.450,0,26.42705
2015-01-13 02:29:52.212,105.2914,0
2015-01-13 02:30:08.042,399.2287,1969.801
2015-01-13 02:30:23.821,55.78479,5402.455
2015-01-13 02:30:39.636,33.23329,77.88578
2015-01-13 02:30:55.440,236.9441,1328.61
2015-01-13 02:31:11.401,0,980.8276
2015-01-13 02:31:27.235,0,756.5157
2015-01-13 02:31:43.030,0,2909.745
2015-01-13 02:31:58.885,79.73652,4781.391
2015-01-13 02:32:14.701,0,73.78206
2015-01-13 02:32:31.297,190.9984,1627.156
2015-01-13 02:32:47.037,63.96637,16.4681
2015-01-13 02:33:02.796,716.7463,3644.574
