date,C Palace,Stoke,The Draw
2014-12-13 16:19:30.825,27.70218,21.73913,50.76142
2014-12-13 16:19:51.692,27.39726,21.73913,51.54639
2014-12-13 16:20:12.314,27.77778,21.2766,51.76877
2014-12-13 16:20:33.172,27.02703,21.2766,52.08333
2014-12-13 16:21:03.359,26.83687,21.2766,52.35602
2014-12-13 16:21:24.015,26.66667,21.16444,52.35602
2014-12-13 16:21:44.616,26.66667,20.83333,52.63158
2014-12-13 16:22:05.150,26.66667,20.66582,53.46602
2014-12-13 16:22:25.964,26.66667,20.71987,54.05405
2014-12-13 16:22:46.560,26.14379,20.66598,54.75401
2014-12-13 16:23:08.083,25.52783,19.60784,54.94505
2014-12-13 16:23:28.811,25.52783,19.60784,55.07916
2014-12-13 16:23:49.860,25.59096,19.60368,55.04672
2014-12-13 16:24:10.706,25.21008,19.60784,55.24862
2014-12-13 16:24:31.309,25.64103,19.77497,54.78779
2014-12-13 16:24:52.778,25.00326,19.74843,55.49899
2014-12-13 16:25:13.327,25.03706,19.12215,55.77738
2014-12-13 16:25:34.180,25.31646,19.12215,56.35769
2014-12-13 16:25:55.118,23.80952,19.12215,56.35769
2014-12-13 16:26:15.763,23.80952,18.86792,57.14286
2014-12-13 16:26:36.335,23.80952,18.18182,58.23961
2014-12-13 16:26:56.931,23.80952,18.18182,58.23961
2014-12-13 16:27:17.537,23.80952,17.55666,59.46943
2014-12-13 16:27:38.173,23.80952,16.98227,59.46943
2014-12-13 16:27:58.917,23.39364,16.98227,60.5039
2014-12-13 16:28:19.672,23.25581,17.88771,60.04124
2014-12-13 16:28:40.550,23.09389,16.80494,60.55125
2014-12-13 16:29:01.174,22.22222,16.96816,60.78483
2014-12-13 16:29:21.773,22.72727,16.66667,61.16555
2014-12-13 16:29:42.405,22.72727,16.66667,61.63192
2014-12-13 16:30:03.004,20.40816,16.68593,61.7284
2014-12-13 16:30:44.196,21.29585,16.65426,62.5
2014-12-13 16:31:15.658,20.24286,15.33517,64.74698
2014-12-13 16:31:36.351,20.40816,15.28011,65.12965
2014-12-13 16:31:57.585,19.79808,15.15152,64.94095
2014-12-13 16:32:18.206,19.60784,15.15152,65.10791
2014-12-13 16:32:38.824,19.57973,14.89187,65.14966
2014-12-13 16:33:00.172,19.28857,15.15152,64.99369
2014-12-13 16:33:20.789,19.25867,14.80406,65.35917
2014-12-13 16:33:41.355,19.23077,14.70588,66.66667
2014-12-13 16:34:02.680,18.86792,14.70588,67.2867
2014-12-13 16:34:23.312,17.85714,14.18967,67.2867
2014-12-13 16:34:43.950,17.85714,14.05818,67.2867
2014-12-13 16:35:04.525,17.17213,13.83119,69.48601
2014-12-13 16:35:25.287,16.66667,13.62254,70.10924
2014-12-13 16:35:45.914,14.28571,13.62932,71.07727
2014-12-13 16:36:06.672,15.625,13.62932,71.69098
2014-12-13 16:36:27.347,15.625,12.25195,72.32745
2014-12-13 16:36:47.984,14.70588,12.9779,72.52675
2014-12-13 16:37:09.553,14.28571,12.9779,72.98577
2014-12-13 16:37:30.880,14.70588,12.19512,73.13217
2014-12-13 16:37:51.778,14.62365,12.27127,73.07336
2014-12-13 16:38:12.425,14.76061,12.18752,72.63352
2014-12-13 16:38:33.554,14.9612,12.05765,72.83842
2014-12-13 16:38:54.190,15.03392,11.99211,72.80889
2014-12-13 16:39:14.869,14.6549,11.90476,73.4233
2014-12-13 16:39:35.885,14.60549,11.76063,74.06952
2014-12-13 16:39:56.693,14.4917,12.19512,74.12002
2014-12-13 16:40:17.501,14.07296,11.93722,74.33203
2014-12-13 16:40:38.259,13.88889,11.93722,75.50895
2014-12-13 16:40:59.022,13.88889,10.41667,76.81816
2014-12-13 16:41:31.998,11.62791,10.8908,76.92308
2014-12-13 16:41:52.647,12.41551,9.335576,79.42032
2014-12-13 16:42:13.387,10.88377,8.506542,80.63669
2014-12-13 16:42:34.658,10.86957,9.287294,81.27276
2014-12-13 16:42:55.422,10.22392,9.090909,80.73556
2014-12-13 16:43:16.322,10.30336,8.392102,81.81218
2014-12-13 16:43:37.058,10,8.3283,81.96721
