date,C Palace,Stoke,The Draw
2014-12-13 15:46:13.346,3836.74,254.9535,47.38459
2014-12-13 15:46:34.087,2800.374,60.51798,205.2462
2014-12-13 15:46:54.741,1311.629,14.78604,0
2014-12-13 15:47:15.930,676.9998,175.9044,113.2675
2014-12-13 15:47:36.609,165.5876,49.03506,11.95411
2014-12-13 15:47:57.469,914.9967,54.82329,0
2014-12-13 15:48:18.491,0,0,60.47972
2014-12-13 15:48:39.196,178.2195,110.1193,89.08075
2014-12-13 15:49:01.476,53.86023,0,54.29112
2014-12-13 15:49:22.588,28.41875,63.08962,0
2014-12-13 15:49:50.086,0,56.57943,38.42513
2014-12-13 15:50:12.347,312.4373,20.59197,31.04967
2014-12-13 15:50:32.941,68.29236,58.26993,134.2831
2014-12-13 15:50:53.745,0,2373.973,1719.216
2014-12-13 15:51:14.559,336.6498,277.5818,194.8175
2014-12-13 15:51:35.205,87.18197,115.1964,58.12131
2014-12-13 15:51:55.751,52.5654,23.3624,11.6812
2014-12-13 15:52:16.574,404.9007,50.13714,2293.342
2014-12-13 15:52:37.159,188.8174,61.3846,122.6818
2014-12-13 15:52:57.827,1974.005,26.82324,0
2014-12-13 15:53:18.614,75.1341,71.03535,571.3713
2014-12-13 15:53:39.271,13.24484,46.47313,528.8061
2014-12-13 15:54:00.175,596.6843,0,41.18924
2014-12-13 15:54:21.589,390.9966,181.8393,118.91
2014-12-13 15:54:42.181,345.7574,311.2283,75.26474
2014-12-13 15:55:02.784,17.44401,11.64876,137.5427
2014-12-13 15:55:24.266,101.0773,268.1522,0
2014-12-13 15:55:45.083,0,17.29365,342.3565
2014-12-13 15:56:06.409,121.9356,5.626933,309.4532
2014-12-13 15:56:26.953,162.6783,129.6754,35.86517
2014-12-13 15:56:47.683,7.81484,677.2862,126.6294
2014-12-13 15:57:08.373,28.99972,117.2169,78.87924
2014-12-13 15:57:28.920,36.0625,166.4423,36.76331
2014-12-13 15:57:49.494,305.5438,237.8266,407.9944
2014-12-13 15:58:10.163,377.3975,251.4435,67.25867
2014-12-13 15:58:30.748,46.37463,111.9579,34.86113
2014-12-13 15:58:51.335,58.28952,0,0
2014-12-13 15:59:11.946,458.7481,57.90024,17.46614
2014-12-13 15:59:32.782,1409.464,118.7272,0
2014-12-13 15:59:54.039,492.7287,398.3662,1021.136
2014-12-13 16:00:22.398,890.6186,220.814,829.1791
2014-12-13 16:00:43.354,364.3311,3.951095,6.241585
2014-12-13 16:01:03.907,35.00344,99.02558,731.569
2014-12-13 16:01:24.521,494.1589,2154.589,36.87709
2014-12-13 16:01:45.134,2195.338,420.2054,203.7571
2014-12-13 16:02:06.222,617.4263,1688.227,420.6556
2014-12-13 16:02:27.126,40.15468,0,0
2014-12-13 16:02:47.810,64.40018,0,78.20851
2014-12-13 16:03:08.475,0,0,0
2014-12-13 16:03:29.519,1172.181,33.90063,140.3355
2014-12-13 16:03:50.331,290.1419,66.0488,102.8355
2014-12-13 16:04:11.154,85.17766,9.624269,57.14049
2014-12-13 16:04:32.735,146.2355,11.53759,18.59915
2014-12-13 16:04:53.451,54.04529,0.5792636,163.2075
