date,Arsenal,The Draw,Tottenham
2015-02-07 13:23:26.063,63.92881,24.78608,11.51789
2015-02-07 13:23:41.873,63.90641,24.39024,11.39793
2015-02-07 13:24:14.892,63.45901,25,11.72206
2015-02-07 13:24:30.677,63.10704,25,11.81406
2015-02-07 13:24:46.616,63.40037,25.01206,11.50314
2015-02-07 13:25:02.255,63.39206,25.24645,11.5439
2015-02-07 13:25:18.384,63.32263,25.15995,11.40303
2015-02-07 13:25:34.048,63.41132,25.07997,11.49868
2015-02-07 13:25:49.905,63.52422,25.10194,11.42592
2015-02-07 13:26:06.108,63.30024,25.31646,11.43881
2015-02-07 13:26:21.825,63.29114,25.06185,11.57671
2015-02-07 13:26:37.440,62.92582,25.28472,11.59546
2015-02-07 13:26:53.290,63.00607,25.00277,11.4395
2015-02-07 13:27:09.422,62.89691,25.31646,11.43954
2015-02-07 13:27:25.041,63.33909,25.60648,11.11865
2015-02-07 13:27:40.836,62.99904,25.62478,10.98289
2015-02-07 13:27:56.543,63.62431,25.52542,11.0495
2015-02-07 13:28:12.309,62.63924,26.0993,11.06515
2015-02-07 13:28:29.258,62.53221,25.97869,10.99443
2015-02-07 13:28:45.047,62.81896,26.03299,11.12943
2015-02-07 13:29:01.026,62.63593,25.97403,11.21887
2015-02-07 13:29:17.156,62.95662,25.79527,10.96298
2015-02-07 13:29:33.418,63.22496,25.9728,11.08803
2015-02-07 13:29:49.394,63.43884,25.88019,11.06689
2015-02-07 13:30:05.064,63.9171,25.40207,10.94343
2015-02-07 13:30:21.536,64.03666,25.31646,10.99307
2015-02-07 13:30:37.257,63.75794,25.31005,11.1065
2015-02-07 13:30:53.673,63.82765,25.31646,11.10974
2015-02-07 13:31:09.920,63.70829,25,11.0477
2015-02-07 13:31:25.810,64.09964,25.01758,10.9375
2015-02-07 13:31:41.468,64.10256,24.76313,11.04604
2015-02-07 13:31:57.430,63.69203,25.27857,11.16705
2015-02-07 13:32:13.258,63.42548,25.31646,11.13031
2015-02-07 13:32:29.067,64.39882,25.01198,11.03404
2015-02-07 13:32:45.012,64.43867,25,10.88069
2015-02-07 13:33:01.064,64.54041,24.56344,11.03209
2015-02-07 13:33:16.976,64.51686,25.04035,10.90084
2015-02-07 13:33:32.733,64.25004,25,10.89207
2015-02-07 13:33:48.526,64.37593,25,11.10148
2015-02-07 13:34:04.367,64.34391,24.72318,11.02665
2015-02-07 13:34:20.316,64.45247,24.8991,11.09756
2015-02-07 13:34:38.517,64.4977,24.9537,11.11111
2015-02-07 13:34:54.300,64.26666,24.59219,11.07648
2015-02-07 13:35:11.072,64.38014,24.7021,10.89151
2015-02-07 13:35:28.026,64.36665,25,11.11111
2015-02-07 13:35:43.787,64.15143,24.99496,11.03376
2015-02-07 13:35:59.480,64.48635,25,11.03574
2015-02-07 13:36:15.498,64.43907,25,10.9237
2015-02-07 13:36:31.676,64.28458,24.73412,11.06742
2015-02-07 13:36:47.576,64.31041,24.5587,11.04578
2015-02-07 13:37:03.428,64.10452,24.99536,10.88745
2015-02-07 13:37:19.114,64.46466,25.06013,10.86957
2015-02-07 13:37:34.838,64.18114,25.00611,10.86079
2015-02-07 13:37:50.630,64.10447,25,10.85229
2015-02-07 13:38:07.250,64.43687,24.94932,10.85361
2015-02-07 13:38:23.234,64.2625,25,10.85099
2015-02-07 13:38:38.925,64.30181,25,10.77275
2015-02-07 13:38:54.683,64.25813,25,10.8064
2015-02-07 13:39:10.590,64.365,24.99751,10.85976
2015-02-07 13:39:26.505,64.50408,24.98497,10.85255
2015-02-07 13:39:42.614,64.11731,25.01731,10.86957
2015-02-07 13:39:58.281,64.48965,25.0968,10.86957
2015-02-07 13:40:14.168,64.50457,25.07046,10.79569
2015-02-07 13:40:30.359,64.36528,25.04159,10.85406
2015-02-07 13:40:46.076,64.51618,25,10.66162
2015-02-07 13:41:02.337,64.61327,24.67992,10.7676
2015-02-07 13:41:18.178,64.52061,24.98812,10.76481
2015-02-07 13:41:34.379,64.53092,25,10.86957
2015-02-07 13:41:50.078,64.55615,25,10.77996
2015-02-07 13:42:06.190,64.76153,24.40476,10.76776
2015-02-07 13:42:22.590,64.88498,24.39024,10.86957
2015-02-07 13:42:38.254,64.60991,25,10.86957
2015-02-07 13:42:54.141,64.63955,25,10.82668
2015-02-07 13:43:09.872,64.7665,24.68471,10.78233
2015-02-07 13:43:25.712,64.91006,24.94738,10.86957
2015-02-07 13:43:41.588,64.5377,24.43581,10.84232
2015-02-07 13:43:57.552,64.73227,24.48613,10.72683
2015-02-07 13:44:13.272,64.75451,24.88943,10.86307
2015-02-07 13:44:36.332,64.70024,24.75459,10.78708
2015-02-07 13:44:52.023,64.52763,24.93514,10.68593
2015-02-07 13:45:07.628,64.73655,24.92709,10.69575
2015-02-07 13:45:23.211,64.6515,24.64927,10.83104
2015-02-07 13:45:38.966,64.52569,24.98775,10.8509
2015-02-07 13:45:54.690,64.9198,24.98775,10.86574
2015-02-07 13:46:10.472,64.51613,24.40703,10.83291
2015-02-07 13:46:26.360,64.52974,24.61396,10.76453
2015-02-07 13:46:42.092,64.6975,25,10.81914
2015-02-07 13:46:57.803,64.51613,25,10.78051
2015-02-07 13:47:13.419,64.57211,24.97132,10.65723
2015-02-07 13:47:29.015,64.79892,24.48114,10.72349
2015-02-07 13:47:44.673,64.53423,25,10.72489
2015-02-07 13:48:00.476,64.66768,25,10.86957
2015-02-07 13:48:16.450,64.86242,24.67503,10.86957
2015-02-07 13:48:32.289,64.84941,24.39024,10.73443
2015-02-07 13:48:48.375,64.74984,25,10.6626
2015-02-07 13:49:04.126,64.94343,24.53278,10.84733
2015-02-07 13:49:19.954,64.94798,24.43413,10.83421
2015-02-07 13:49:35.616,65.11047,24.74683,10.73269
2015-02-07 13:49:53.251,64.57764,24.58159,10.86957
2015-02-07 13:50:09.280,64.51168,25.00437,10.80486
2015-02-07 13:50:25.054,64.65453,25,10.76291
2015-02-07 13:50:41.398,64.14804,25.30799,10.87098
2015-02-07 13:50:57.345,64.37144,25.02006,10.91457
2015-02-07 13:51:13.281,64.22838,24.90983,10.8192
2015-02-07 13:51:29.187,64.50203,24.99773,10.96654
2015-02-07 13:51:44.914,64.57241,24.98837,10.66149
2015-02-07 13:52:00.659,64.89758,24.93122,10.66876
2015-02-07 13:52:16.487,64.72594,24.98262,10.70529
2015-02-07 13:52:32.637,65.40012,24.4814,10.42104
2015-02-07 13:52:48.433,65.8713,24.39023,10.20408
2015-02-07 13:53:04.053,66.21055,24.15333,10
2015-02-07 13:53:19.918,65.99878,23.99126,9.830158
2015-02-07 13:53:36.166,65.6202,24.39024,9.768098
2015-02-07 13:53:51.838,65.61535,24.49307,9.988206
2015-02-07 13:54:07.629,65.78559,25,9.824691
2015-02-07 13:54:23.221,65.838,24.94715,9.52381
2015-02-07 13:54:38.829,66.24164,24.59187,9.156392
2015-02-07 13:54:56.765,66.72564,24.39024,9.090909
2015-02-07 13:55:12.682,67.06147,24.12065,9.067082
2015-02-07 13:55:28.480,67.11409,23.81025,8.695652
2015-02-07 13:55:44.872,67.38289,23.4404,8.695652
2015-02-07 13:56:00.653,67.77791,23.64553,8.633522
2015-02-07 13:56:16.607,66.69242,23.80952,9.090898
2015-02-07 13:56:32.243,66.39311,24.39024,9.11075
2015-02-07 13:56:48.273,66.42392,23.91056,9.497414
2015-02-07 13:57:03.997,67.03014,23.82647,9.042447
2015-02-07 13:57:19.636,67.83459,23.80952,8.475727
2015-02-07 13:57:35.415,67.93918,23.47553,8.574565
2015-02-07 13:57:51.124,68.10827,23.68939,8.573307
2015-02-07 13:58:07.114,67.99532,23.42814,8.510524
2015-02-07 13:58:23.233,68.24087,23.617,8.415039
2015-02-07 13:58:38.902,68.24676,23.80952,8.333333
2015-02-07 13:58:54.670,67.84165,23.80952,8.400881
2015-02-07 13:59:10.474,66.78422,24.20217,8.509981
2015-02-07 13:59:26.241,66.78422,24.20217,8.509981
2015-02-07 13:59:42.092,66.78422,24.20217,8.509981
2015-02-07 13:59:59.354,42.37288,30.76923,29.55187
2015-02-07 14:00:15.087,26.95218,43.85863,28.55272
2015-02-07 14:00:31.053,27.34105,44.23168,28.21404
2015-02-07 14:00:46.881,27.5848,44.68071,27.48225
2015-02-07 14:01:02.669,27.71871,45.23307,27.18871
2015-02-07 14:01:18.743,27.76087,44.66994,27.1275
2015-02-07 14:01:34.426,27.21866,44.98087,27.58683
