DENI,School_name,age,School_type,Management_type,year,Address,Postcode,Town,Protestant,Catholic,Other,Protestant_number,Catholic_number,Other_number,Total,Percentage_Protestant,Percentage_Catholic,Percentage_Other
2032300,Listress Primary School,Primary,Primary,RC Maintained,1998,,,Derry,<5,>=5,<5,4,25,4,33.0,12.1212121212,75.7575757576,12.1212121212
2032473,Kilskerry Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,26,4,34.0,11.7647058824,76.4705882353,11.7647058824
2032510,Barrack Street Boy's Primary,Primary,Primary,RC Maintained,1998,,,Strabane,<5,>=5,<5,4,233,4,241.0,1.65975103734,96.6804979253,1.65975103734
2032537,Loreto Convent Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,0,>=5,<5,0,325,4,329.0,0.0,98.7841945289,1.21580547112
2032573,St Brigid's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,54,4,62.0,6.45161290323,87.0967741935,6.45161290323
2032600,Drumnabey Primary School,Primary,Primary,RC Maintained,1998,,,Strabane,<5,>=5,<5,4,105,4,113.0,3.53982300885,92.9203539823,3.53982300885
2032603,Tummery Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,55,4,63.0,6.34920634921,87.3015873016,6.34920634921
2032607,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,345,4,353.0,1.13314447592,97.7337110482,1.13314447592
2032612,St Matthew's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,24,4,32.0,12.5,75.0,12.5
2032628,Knocknagor Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,40,4,48.0,8.33333333333,83.3333333333,8.33333333333
2032631,Envagh Primary School,Primary,Primary,RC Maintained,1998,,,Strabane,<5,>=5,<5,4,46,4,54.0,7.40740740741,85.1851851852,7.40740740741
2032639,Drumduff Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,63,4,71.0,5.6338028169,88.7323943662,5.6338028169
2032662,St Brigid's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,83,4,91.0,4.3956043956,91.2087912088,4.3956043956
2032664,Scraghey Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,32,4,40.0,10.0,80.0,10.0
