date,England,France,Ireland,Italy,Scotland,Wales
2015-02-17 13:26:45.468,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 13:31:46.455,54.34783,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 13:36:47.628,54.34783,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 13:41:48.322,54.34783,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 13:46:48.864,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 13:51:49.897,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 13:56:50.577,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 14:01:51.253,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 14:06:51.931,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 14:11:52.668,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 14:16:55.570,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 14:21:56.301,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 14:26:56.867,53.19149,3.571429,37.17472,0,0.2173913,5.633803
2015-02-17 14:31:57.867,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 14:36:58.656,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 14:42:00.119,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 14:47:03.442,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 14:52:04.633,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 14:57:05.361,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:02:06.241,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:07:12.373,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:12:13.128,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:17:14.171,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:22:14.975,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:27:15.983,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:32:16.729,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:37:17.579,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:42:18.540,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:47:19.523,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:52:20.133,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 15:57:20.950,52.49344,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 16:02:21.971,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 16:07:22.832,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 16:12:23.568,52.49344,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 16:17:24.505,53.19149,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 16:22:25.176,53.90836,3.571429,37.17472,0,0.2173913,5.714286
2015-02-17 16:27:25.859,53.0504,3.571429,37.17472,0,0.2173913,5.882353
2015-02-17 16:32:26.553,53.90836,3.571429,37.17472,0,0.2173913,5.882353
2015-02-17 16:37:27.468,53.0504,3.571429,37.17472,0,0.2173913,5.882353
2015-02-17 16:42:28.125,53.0504,3.571429,37.17472,0,0.2173913,5.882353
2015-02-17 16:47:29.112,53.0504,3.571429,37.17472,0,0.2173913,5.882353
2015-02-17 16:52:29.752,53.0504,3.571429,37.17472,0,0.2173913,5.882353
2015-02-17 16:57:30.675,53.0504,3.571429,37.17472,0,0.2173913,5.882353
2015-02-17 17:02:31.273,53.90836,3.571429,37.17472,0,0.2173913,5.882353
2015-02-17 17:07:31.972,53.19149,3.636364,37.17472,0,0.2173913,5.882353
2015-02-17 17:12:33.121,53.0504,3.636364,37.17472,0,0.2173913,5.882353
2015-02-17 17:17:33.753,53.19149,3.636364,37.17472,0,0.2173913,5.882353
2015-02-17 17:22:34.967,53.19149,3.636364,37.17472,0,0.2173913,5.882353
2015-02-17 17:27:35.769,53.19149,3.636364,37.17472,0,0.2173913,5.882353
2015-02-17 17:30:34.727,53.19149,3.636364,37.17472,0,0.2173913,5.882353
