date,Aston Villa,The Draw,Tottenham
2014-11-02 17:24:58.197,89111.51,6820.797,7977.494
2014-11-02 17:25:29.255,121672.4,8839.508,5916.78
2014-11-02 17:25:59.930,34020.01,4836.58,6549.442
2014-11-02 17:26:30.813,30976.47,1255.061,4920.362
2014-11-02 17:27:01.432,53214.61,2215.932,10777.91
2014-11-02 17:27:34.318,16697.4,1956.214,9985.525
2014-11-02 17:28:05.014,30973.43,1775.101,12575.2
2014-11-02 17:28:35.654,29166.91,1645.534,3922.646
2014-11-02 17:29:06.516,35422.69,2903.047,4427.175
2014-11-02 17:29:37.321,47577.48,2420.492,7399.686
2014-11-02 17:30:08.065,19130.61,1538.45,3810.47
2014-11-02 17:30:38.791,84236.4,5209.226,4359.764
2014-11-02 17:31:09.706,60580.89,2646.053,8371.176
2014-11-02 17:31:40.480,16451.3,2080.546,3654.281
2014-11-02 17:32:11.522,8198.408,2805.799,2206.234
2014-11-02 17:32:42.218,33743.67,2816.646,8357.696
2014-11-02 17:33:12.986,15217.33,2348.682,3940.829
2014-11-02 17:33:43.632,36621.17,2068.648,3392.06
2014-11-02 17:34:14.289,25325.89,1169.736,4582.398
2014-11-02 17:34:45.287,40641.55,3402.242,3888.606
2014-11-02 17:35:16.199,54124.25,2618.917,2062.805
2014-11-02 17:35:46.861,30803.94,1354.442,2538.66
2014-11-02 17:36:17.487,11931.17,1192.118,1313.524
2014-11-02 17:36:48.350,9512.149,2027.639,2484.066
2014-11-02 17:37:19.071,19601.82,1288.96,1186.132
2014-11-02 17:37:49.653,49319.76,2999.604,2582.889
2014-11-02 17:38:20.499,99538.06,2325.507,3888.806
2014-11-02 17:38:51.399,59050.98,2598.164,2900.745
2014-11-02 17:39:22.060,65426.31,3627.194,2821.06
2014-11-02 17:39:52.634,38894.97,1714.231,2008.005
2014-11-02 17:40:23.224,16605.45,1489.2,994.1074
2014-11-02 17:40:53.882,0,0,0
2014-11-02 17:41:24.675,6490.33,18536.35,4040.435
2014-11-02 17:41:55.192,16890.25,71450.53,25216.54
2014-11-02 17:42:26.020,8389.021,99661.78,16005.93
2014-11-02 17:42:56.631,11027.25,78169.78,6571.878
2014-11-02 17:43:27.436,11881.76,62279.29,13305.68
2014-11-02 17:43:58.122,4080.308,114659.7,26669.4
2014-11-02 17:44:28.883,3584.302,54898.74,16794.13
2014-11-02 17:44:59.680,6155.307,57324.61,9798.546
2014-11-02 17:45:30.490,3474.38,94834.89,24239.47
2014-11-02 17:46:01.372,1563.826,5148.954,12799.42
2014-11-02 17:46:32.307,0,0,0
2014-11-02 17:47:03.123,378.0256,853.3857,121724.5
2014-11-02 17:47:33.925,348.756,4265.989,791016
2014-11-02 17:48:04.729,191.2504,5229.925,502749
2014-11-02 17:48:35.641,252.2904,4543.343,314573.1
2014-11-02 17:49:06.232,93.94953,5607.041,287664.3
2014-11-02 17:49:37.263,60.28811,3032.503,131995.6
2014-11-02 17:50:07.838,31.43739,1830.021,112837.5
2014-11-02 17:50:38.463,8.502856,1694.537,230314.4
2014-11-02 17:51:09.077,19.10876,1222.647,168349.9
2014-11-02 17:51:39.839,9.674521,387.9561,163019.1
2014-11-02 17:52:10.406,31.26848,476.2113,139562.4
2014-11-02 17:52:41.069,1222.417,647.712,218716.5
2014-11-02 17:53:11.630,0.1570615,56.89551,91667.78
2014-11-02 17:53:42.229,0,286.8323,15896.37
2014-11-02 17:54:12.926,0,7.818372,10227.47
2014-11-02 17:54:43.692,0,0,0
2014-11-02 17:55:14.496,0,0,0
2014-11-02 17:55:45.304,0,0,0
2014-11-02 17:56:16.068,0,0,0
2014-11-02 17:56:46.658,0,0,0
