date,Denver Broncos,Indianapolis Colts
2015-01-11 22:25:57.093,2642.803,0
2015-01-11 22:26:12.837,6232.992,33.0046
2015-01-11 22:26:28.644,20031.42,5293.407
2015-01-11 22:26:44.520,36714.42,1262.096
2015-01-11 22:27:01.200,38931.8,3193.932
2015-01-11 22:27:17.078,11584.69,786.4426
2015-01-11 22:27:32.904,5017.563,7244.364
2015-01-11 22:27:48.732,15079.72,1963.688
2015-01-11 22:28:04.548,7346.006,2449.427
2015-01-11 22:28:20.316,6483.996,614.8325
2015-01-11 22:28:36.746,5026.157,3009.048
2015-01-11 22:28:53.988,12106.16,417.4381
2015-01-11 22:29:10.109,4402.988,815.3019
2015-01-11 22:29:25.954,8745.872,393.8149
2015-01-11 22:29:42.094,16058.31,2867.04
2015-01-11 22:29:57.864,17194.23,721.5558
2015-01-11 22:30:14.193,9208.74,518.1232
2015-01-11 22:30:30.073,2266.197,2875.97
2015-01-11 22:30:45.969,7212.75,1391.511
2015-01-11 22:31:01.633,7248.08,2676.45
2015-01-11 22:31:22.654,6290.717,231.8489
2015-01-11 22:31:38.485,14323.46,6580.734
2015-01-11 22:31:54.360,5104.195,1876.504
2015-01-11 22:32:10.023,1550.089,761.9437
2015-01-11 22:32:25.927,10620.4,118.4618
2015-01-11 22:32:42.098,13061.93,64.33826
2015-01-11 22:32:58.294,5115.109,3429.645
2015-01-11 22:33:14.090,2731.421,3872.456
2015-01-11 22:33:29.846,5115.776,2171.466
2015-01-11 22:33:45.908,5624.781,2223.733
2015-01-11 22:34:02.930,4517.133,294.7811
2015-01-11 22:34:18.840,868.2768,14.74596
2015-01-11 22:34:34.681,4713.026,1985.51
2015-01-11 22:34:50.493,16365.05,3943.583
2015-01-11 22:35:07.789,3328.587,641.8434
2015-01-11 22:35:23.739,12437.99,9377.884
2015-01-11 22:35:44.824,35014.67,2288.627
2015-01-11 22:36:00.645,16350.88,3140.062
2015-01-11 22:36:16.442,16392.89,912.4843
2015-01-11 22:36:32.265,6530.299,1241.483
2015-01-11 22:36:48.051,5203.15,1058.592
2015-01-11 22:37:03.862,20615.48,3441.207
2015-01-11 22:37:20.112,35370.93,8550.161
2015-01-11 22:37:36.325,5771.123,827.9089
2015-01-11 22:37:52.158,14919.93,274.9743
2015-01-11 22:38:07.862,7103.401,701.0559
2015-01-11 22:38:23.663,16898.39,6169.356
2015-01-11 22:38:39.505,2824.307,646.1228
2015-01-11 22:38:58.719,11636.55,752.8886
2015-01-11 22:39:14.941,4285.054,1192.282
2015-01-11 22:39:30.660,8114.748,2848.172
2015-01-11 22:39:47.125,8007.513,5856.181
2015-01-11 22:40:02.863,29312.58,27710.94
2015-01-11 22:40:18.699,8358.271,9645.561
2015-01-11 22:40:34.476,14495.62,8844.718
2015-01-11 22:40:50.341,6675.828,1491.539
2015-01-11 22:41:08.448,17389.9,19651.05
2015-01-11 22:41:24.311,6505.864,29929.21
2015-01-11 22:41:40.081,2048.033,9267.759
2015-01-11 22:41:55.899,8917.094,11092.42
2015-01-11 22:42:11.676,21482.41,679.9723
2015-01-11 22:42:27.872,1939.736,232.6128
2015-01-11 22:42:43.664,7742.139,9347.163
2015-01-11 22:42:59.503,13221.84,11889.68
2015-01-11 22:43:15.625,15032.61,8865.93
2015-01-11 22:43:31.508,15162.06,11338.12
2015-01-11 22:43:57.068,4538.466,6723.673
2015-01-11 22:44:18.913,3573.128,11867.15
2015-01-11 22:44:35.077,931.9427,18920.76
2015-01-11 22:44:50.856,157.6186,9042.519
2015-01-11 22:45:06.673,7779.939,18402.75
2015-01-11 22:45:22.493,666.4217,3083.646
2015-01-11 22:45:38.508,3927.456,8590.381
2015-01-11 22:45:54.336,3043.308,840.1109
2015-01-11 22:46:11.703,952.1314,521.8256
2015-01-11 22:46:27.700,11960.57,548.1273
2015-01-11 22:46:43.560,5264.449,984.9751
2015-01-11 22:46:59.283,35881.44,5615.422
2015-01-11 22:47:15.504,31562.45,1380.228
2015-01-11 22:47:31.332,21783.73,1025.454
2015-01-11 22:47:47.106,15349.86,95.09595
2015-01-11 22:48:02.910,22103.05,9.035911
2015-01-11 22:48:18.840,2391.012,1286.842
2015-01-11 22:48:34.637,1583.027,398.045
2015-01-11 22:48:50.820,2460.202,132.7334
2015-01-11 22:49:06.673,29553.99,3870.094
2015-01-11 22:49:33.756,6837.897,20.75823
2015-01-11 22:49:49.653,2344.43,3.132701
2015-01-11 22:50:05.522,831.8478,0
2015-01-11 22:50:22.296,4445.129,3279.737
2015-01-11 22:50:38.042,4051.67,109.5478
2015-01-11 22:50:53.919,3743.808,94.48143
2015-01-11 22:51:09.934,2485.785,170.9865
2015-01-11 22:51:26.245,4126.603,1267.316
2015-01-11 22:51:42.169,1000.87,50.75373
2015-01-11 22:51:58.213,3992.239,0
2015-01-11 22:52:14.069,2553.819,7.568106
2015-01-11 22:52:29.892,5863.972,78.00124
2015-01-11 22:52:45.709,749.9909,702.3863
2015-01-11 22:53:01.444,3544.434,27.9897
2015-01-11 22:53:17.293,146.3576,1505.712
2015-01-11 22:53:33.292,2943.343,1305.16
2015-01-11 22:53:49.080,2468.709,418.4059
2015-01-11 22:54:05.270,317.3158,253.4598
2015-01-11 22:54:21.064,3676.724,2134.486
2015-01-11 22:54:38.338,6875.231,2814.023
2015-01-11 22:54:54.290,1981.167,1930.389
2015-01-11 22:55:10.068,2369.736,19575.55
2015-01-11 22:55:25.992,938.1025,340.3951
2015-01-11 22:55:41.882,821.1464,1463.646
2015-01-11 22:55:57.696,0,0
2015-01-11 22:56:13.538,2190.691,147.8615
2015-01-11 22:56:30.258,1754.787,0
2015-01-11 22:56:46.180,1464.809,160.3112
2015-01-11 22:57:01.959,29463.19,4324.713
2015-01-11 22:57:17.700,2242.672,695.9082
2015-01-11 22:57:33.457,3352.917,1180.874
2015-01-11 22:57:49.263,4416.622,813.7102
2015-01-11 22:58:05.496,23334.75,0
2015-01-11 22:58:21.264,0,1539.179
2015-01-11 22:58:37.036,3739.963,225.9635
2015-01-11 22:58:52.957,6226.778,19.67232
2015-01-11 22:59:08.617,2587.843,241.1831
2015-01-11 22:59:24.664,2361.987,1669.298
2015-01-11 22:59:43.854,9578.828,176.9335
2015-01-11 22:59:59.689,2364.587,350.0748
2015-01-11 23:00:15.593,485.949,442.3
2015-01-11 23:00:31.779,311.9276,342.7682
2015-01-11 23:00:47.438,630.8795,359.5829
2015-01-11 23:01:03.240,1068.167,230.8104
2015-01-11 23:01:19.052,151.7799,0
2015-01-11 23:01:35.689,232.1458,180.3214
2015-01-11 23:01:51.537,728.6771,378.6122
2015-01-11 23:02:07.250,52.04626,6.185982
2015-01-11 23:02:23.112,5159.585,200.478
2015-01-11 23:02:39.003,18124.31,1140.869
2015-01-11 23:02:54.876,99.33705,26.57304
2015-01-11 23:03:11.221,8077.394,76.46398
2015-01-11 23:03:27.048,24353.28,0
2015-01-11 23:03:42.839,5506.148,143.3598
2015-01-11 23:03:58.685,2426.072,1161.105
2015-01-11 23:04:19.119,2640.052,776.9109
2015-01-11 23:04:47.328,1522.919,54.25854
2015-01-11 23:05:03.099,4493.089,7.609149
2015-01-11 23:05:19.285,12796.32,1576.214
2015-01-11 23:05:35.053,2491.572,19.02486
2015-01-11 23:05:51.384,3448.715,0
2015-01-11 23:06:07.262,2799.654,70.81608
2015-01-11 23:06:23.077,3313.211,185.7829
2015-01-11 23:06:39.036,300.7751,0
2015-01-11 23:06:54.868,2199.425,1058.254
2015-01-11 23:07:10.897,842.7388,0
2015-01-11 23:07:27.058,2792.922,237.5794
2015-01-11 23:07:43.405,0,0
2015-01-11 23:07:59.308,236.9096,46.89897
2015-01-11 23:08:15.036,256.1665,57.22259
2015-01-11 23:08:30.889,192.8688,111.4219
2015-01-11 23:08:47.124,2183.522,101.0383
2015-01-11 23:09:02.880,6099.608,203.093
2015-01-11 23:09:18.640,3470.645,3145.95
2015-01-11 23:09:34.481,32.95335,12468.34
2015-01-11 23:09:50.346,166.409,0
2015-01-11 23:10:06.063,3528.937,458.0755
2015-01-11 23:10:21.902,32012.42,6656.745
2015-01-11 23:10:37.800,6823.872,3268.013
2015-01-11 23:10:53.724,1227.52,0
2015-01-11 23:11:09.949,3158.739,1377.201
2015-01-11 23:11:25.813,1534.55,491.357
2015-01-11 23:11:41.870,1501.183,0
2015-01-11 23:11:58.080,1169.545,3456.002
2015-01-11 23:12:14.616,1980.115,2131.708
2015-01-11 23:12:30.517,3503.521,1145.816
2015-01-11 23:12:47.160,3948.673,720.9949
2015-01-11 23:13:02.836,4195.723,1252.458
2015-01-11 23:13:18.688,10102.67,6528.187
2015-01-11 23:13:34.720,21505.41,3224.313
2015-01-11 23:13:50.474,3671.55,314.1733
2015-01-11 23:14:06.266,1753.297,3175.668
2015-01-11 23:14:22.396,18657.53,12187.06
2015-01-11 23:14:38.281,771.4983,117.9948
2015-01-11 23:14:54.049,11966.93,612.1236
2015-01-11 23:15:09.832,439.5664,492.9773
2015-01-11 23:15:25.833,50254.14,1001.902
2015-01-11 23:15:41.641,0,814.9543
2015-01-11 23:15:57.685,2266.169,4921.284
2015-01-11 23:16:14.522,318.1474,506.0139
2015-01-11 23:16:30.640,305.2459,737.5411
2015-01-11 23:16:46.442,0,925.3021
2015-01-11 23:17:02.354,0,0
2015-01-11 23:17:18.069,1196.269,1726.349
2015-01-11 23:17:33.937,93.24886,3926.132
2015-01-11 23:17:49.658,602.1659,355.9641
2015-01-11 23:18:05.892,649.5898,209.9266
2015-01-11 23:18:21.709,2596.818,320.5339
2015-01-11 23:18:37.441,29405.7,330.9068
2015-01-11 23:18:53.778,8442.911,4753.329
2015-01-11 23:19:09.542,8201.791,388.0604
2015-01-11 23:19:25.318,1556.413,158.296
2015-01-11 23:19:41.506,20496.4,0
2015-01-11 23:19:57.242,6507.525,65.27733
2015-01-11 23:20:14.612,24610.3,107.9434
2015-01-11 23:20:30.462,22030.69,0
2015-01-11 23:20:46.283,1070.622,834.0924
2015-01-11 23:21:02.398,1064.925,679.9404
2015-01-11 23:21:18.254,14959.47,0
2015-01-11 23:21:34.908,191.8019,0
2015-01-11 23:21:50.828,1109.517,0
2015-01-11 23:22:07.072,28876.72,44.61853
2015-01-11 23:22:22.849,680.2754,91.2713
2015-01-11 23:22:38.689,37.87911,174.5469
2015-01-11 23:22:54.661,37880.9,1963.625
2015-01-11 23:23:10.596,11337.75,0
2015-01-11 23:23:26.496,3360.218,2626.53
2015-01-11 23:23:42.542,837.653,12.7512
2015-01-11 23:23:59.138,35349.61,180.7654
2015-01-11 23:24:14.922,422.3948,3782.167
2015-01-11 23:24:30.714,2336.6,5352.394
2015-01-11 23:24:46.492,1882.924,744.5373
2015-01-11 23:25:08.928,23558.18,9717.068
2015-01-11 23:25:38.905,5741.223,1596.39
2015-01-11 23:25:54.646,20814.15,132.1471
2015-01-11 23:26:11.137,22489.3,594.2853
2015-01-11 23:26:26.860,3604.1,818.0416
2015-01-11 23:26:43.069,3848.932,0
2015-01-11 23:26:58.848,481.1461,345.2783
2015-01-11 23:27:14.698,5334.39,8148.483
2015-01-11 23:27:30.464,4408.252,4491.863
2015-01-11 23:27:46.223,5305.808,7737.967
2015-01-11 23:28:08.604,4315.891,3521.791
2015-01-11 23:28:24.445,2298.686,4781.951
2015-01-11 23:28:40.642,5108.032,27156.03
2015-01-11 23:28:56.460,10828.85,5356.052
2015-01-11 23:29:12.195,13602.77,2427.96
2015-01-11 23:29:28.022,6616.846,17975.93
2015-01-11 23:29:43.838,3727.883,3906.821
2015-01-11 23:29:59.700,5306.396,8074.003
2015-01-11 23:30:16.419,2551.524,778.0145
2015-01-11 23:30:32.188,3674.498,5098.593
2015-01-11 23:30:48.266,1101.44,765.4664
2015-01-11 23:31:04.704,2718.614,4266.174
2015-01-11 23:31:20.425,9433.653,3055.28
2015-01-11 23:31:36.622,453.0126,334.5085
2015-01-11 23:31:52.442,2843.794,5883.012
2015-01-11 23:32:08.870,229.8471,2927.821
2015-01-11 23:32:24.630,3352.557,8011.848
2015-01-11 23:32:40.429,3046.204,22694.36
2015-01-11 23:32:56.258,2352.631,5495.247
2015-01-11 23:33:12.236,6456.155,9115.95
2015-01-11 23:33:28.036,699.4826,5190.677
2015-01-11 23:33:44.030,3956.183,14283.41
2015-01-11 23:33:59.870,3270.376,10980.17
2015-01-11 23:34:16.302,1525.594,30253.43
2015-01-11 23:34:32.342,1231.333,1202.193
2015-01-11 23:34:48.129,1866.747,8802.408
2015-01-11 23:35:03.805,1480.287,10073.3
2015-01-11 23:35:19.815,7888.563,9898.067
2015-01-11 23:35:35.719,4285.146,3000.293
2015-01-11 23:35:51.649,5005.992,1303.739
2015-01-11 23:36:07.456,3625.634,871.6493
2015-01-11 23:36:23.224,2362.597,5452.618
2015-01-11 23:36:39.351,4189.422,8783.978
2015-01-11 23:36:55.049,2538.65,36861.47
2015-01-11 23:37:11.930,1842.95,30536.24
2015-01-11 23:37:27.685,399.3354,9361.798
2015-01-11 23:37:43.828,305.3708,11819.92
2015-01-11 23:37:59.762,2501.82,3758.943
