date,Draw,Ireland,Scotland
2015-03-21 15:10:04.067,14.84659,3555.758,0
2015-03-21 15:10:19.692,0,594.5383,0
2015-03-21 15:10:36.213,0,30216.84,0
2015-03-21 15:10:54.167,4.110333,9086.677,13.73453
2015-03-21 15:11:09.968,12.53099,742.5939,0.493645
2015-03-21 15:11:25.700,7.627799,12899.52,0.305112
2015-03-21 15:11:41.396,20.37458,46.90358,0.8027507
2015-03-21 15:11:57.820,0,0,0
2015-03-21 15:12:13.664,0.3408228,37.52838,1.89346
2015-03-21 15:12:29.549,0,0,0
2015-03-21 15:12:45.328,0,6034.388,0
2015-03-21 15:13:00.943,11.37352,1120.676,45.87831
2015-03-21 15:13:16.551,0,0,0
2015-03-21 15:13:32.315,0,0,30.44909
2015-03-21 15:13:47.891,8.744208,1828.079,439.1365
2015-03-21 15:14:03.511,0,0,0
2015-03-21 15:14:19.092,0,0,0
2015-03-21 15:14:35.206,0,0,0
2015-03-21 15:14:50.897,0,0,22.9442
2015-03-21 15:15:06.786,0,0,3.776213
2015-03-21 15:15:22.495,0,102.8186,0
2015-03-21 15:15:38.123,0,253.386,15.35673
2015-03-21 15:16:04.426,6.592361,205.2984,0
2015-03-21 15:16:20.105,0,0,68.8846
2015-03-21 15:16:35.732,0,0,3.839555
2015-03-21 15:16:52.003,22.05152,0,14.75018
2015-03-21 15:17:08.225,0,0,25.15059
2015-03-21 15:17:23.912,45.89842,1568.196,16.06445
2015-03-21 15:17:39.551,0,0,7.673007
2015-03-21 15:17:55.337,13.26495,50.32318,15.16537
2015-03-21 15:18:11.412,0,411.2426,0
2015-03-21 15:18:27.104,0,0,168.2377
2015-03-21 15:18:42.800,0,0,0
2015-03-21 15:18:58.788,37.52982,0,135.1073
2015-03-21 15:19:14.793,0,3898.66,0
2015-03-21 15:19:30.492,0,0,191.1004
2015-03-21 15:19:46.103,0,8536.126,46.12003
2015-03-21 15:20:06.275,0,17.84631,0
2015-03-21 15:20:21.924,15.33691,1992.035,0
2015-03-21 15:20:37.463,0,0,80.66018
2015-03-21 15:20:53.075,0,222.904,0
2015-03-21 15:21:11.204,0,59.57484,13.23885
2015-03-21 15:21:26.902,22.93187,778.8428,85.383
2015-03-21 15:21:42.522,0,0,0
2015-03-21 15:21:58.330,97.732,334.7938,135.6862
2015-03-21 15:22:13.894,43.3297,545.5148,25.13431
2015-03-21 15:22:30.684,14.0091,1099.464,243.9085
2015-03-21 15:22:46.339,0,130.3073,95.1243
2015-03-21 15:23:01.881,51.18939,1842.818,84.9296
2015-03-21 15:23:17.495,0,0,0
2015-03-21 15:23:33.119,0,268.814,0
2015-03-21 15:23:48.647,21.8705,0,23.57068
2015-03-21 15:24:04.414,0,0,15.2217
2015-03-21 15:24:20.048,15.35135,3.837839,0
2015-03-21 15:24:35.986,0,1317.581,0
2015-03-21 15:24:51.909,22.60889,0,0
2015-03-21 15:25:07.547,0,0,0
2015-03-21 15:25:23.372,0,0,0
2015-03-21 15:25:39.138,0,190.8888,0
2015-03-21 15:25:54.756,27.81566,512.8224,0
2015-03-21 15:26:22.498,0,8651.001,43.25501
2015-03-21 15:26:38.069,0,5941.824,0
2015-03-21 15:26:54.448,0,97250.57,0
2015-03-21 15:27:10.137,0,3907.41,15.29753
2015-03-21 15:27:25.677,0,193.6651,72.97189
2015-03-21 15:27:41.252,0,3275.087,0
2015-03-21 15:27:57.261,0,12623.27,184.7743
2015-03-21 15:28:14.509,27.82875,285.4534,0
2015-03-21 15:28:30.202,68.09363,0,61.17339
2015-03-21 15:28:45.885,0,27.69903,0
2015-03-21 15:29:06.636,0,63612.65,11.56594
2015-03-21 15:29:22.509,0,0,0
2015-03-21 15:29:38.350,2.272622,1899.268,30.30162
2015-03-21 15:29:54.153,10.70662,2183.391,37.96674
2015-03-21 15:30:11.051,4.864476,12917.88,17.75356
2015-03-21 15:30:27.190,0.520502,46.02725,61.34488
2015-03-21 15:30:42.903,0,3474.692,0
2015-03-21 15:31:00.818,9.679117,0,0
2015-03-21 15:31:17.385,0,0,0
2015-03-21 15:31:34.374,0,529.7411,0
2015-03-21 15:31:50.188,5.615125,3567.425,18.97002
2015-03-21 15:32:05.911,0,0,0
2015-03-21 15:32:21.536,2.688038,281.092,11.82737
2015-03-21 15:32:37.171,0,0,0
2015-03-21 15:32:52.979,0,6762.972,0
2015-03-21 15:33:08.732,0,1774.852,0
2015-03-21 15:33:24.261,0,1592.677,0
2015-03-21 15:33:40.195,0,1928.283,0
2015-03-21 15:33:55.883,12.39204,17321.02,82.00168
2015-03-21 15:34:11.566,0.1530327,20.42986,0
2015-03-21 15:34:27.504,8.545648,502.5745,33.35438
2015-03-21 15:34:43.146,0,1387.419,0
2015-03-21 15:34:58.916,34.24162,10712.95,190.2312
2015-03-21 15:35:14.579,0,11413.7,0
2015-03-21 15:35:30.326,9.183145,2981.436,80.8193
2015-03-21 15:35:45.910,0,0,38.49966
2015-03-21 15:36:01.496,16.36122,3517.238,24.40709
2015-03-21 15:36:17.168,15.31338,0,0
2015-03-21 15:36:41.290,0.07462191,22.38657,116.0619
2015-03-21 15:36:56.924,0,0,0
2015-03-21 15:37:12.668,0,0,0
2015-03-21 15:37:28.292,0,0,130.5695
2015-03-21 15:37:43.890,0,0,0
2015-03-21 15:37:59.697,0,0,0
2015-03-21 15:38:15.476,1.444883,9645.467,7.604646
2015-03-21 15:38:31.115,7.135997,1872.087,31.84343
2015-03-21 15:38:46.748,0.07676143,19.19036,15.73609
2015-03-21 15:39:02.527,0,0,7.605311
2015-03-21 15:39:18.095,0.3083196,107.9119,10.13601
2015-03-21 15:39:33.735,0,767.2535,30.84359
2015-03-21 15:39:49.316,0,0,0
2015-03-21 15:40:05.912,0.8314869,16473.71,3.61516
2015-03-21 15:40:24.273,0,25.03242,0
2015-03-21 15:40:39.883,0,0,0
2015-03-21 15:41:00.704,8.270216,576.3217,17.40491
2015-03-21 15:41:16.283,0,259.8152,0
2015-03-21 15:41:31.984,0,764.2688,0
2015-03-21 15:41:47.740,0,8461.662,0
2015-03-21 15:42:03.316,0,9244.874,15.40812
2015-03-21 15:42:19.139,0,30.33641,0
2015-03-21 15:42:34.763,0,851.7566,0
2015-03-21 15:42:51.609,0,0,0.1424708
2015-03-21 15:43:07.339,0,0,15.25713
2015-03-21 15:43:23.061,0,381.6322,15.41794
2015-03-21 15:43:38.755,0,703.4441,0.1529226
2015-03-21 15:43:54.509,0,0,15.23434
2015-03-21 15:44:10.134,15.36002,23.04004,0
2015-03-21 15:44:25.992,10.63164,13837.55,267.418
2015-03-21 15:44:41.721,0,0,15.94561
2015-03-21 15:44:57.335,0,0,0
2015-03-21 15:45:12.905,0,0,0
2015-03-21 15:45:28.520,0,0,0
2015-03-21 15:45:44.376,0,0,0
2015-03-21 15:46:00.120,0,0,0
2015-03-21 15:46:15.800,0,42.09069,0
2015-03-21 15:46:31.509,0,0,0
2015-03-21 15:46:56.936,0,310.768,35.77254
2015-03-21 15:47:12.525,0,0,3.233235
2015-03-21 15:47:28.090,0,0,0
2015-03-21 15:47:43.690,0,0,15.38429
2015-03-21 15:47:59.286,0,0,0
2015-03-21 15:48:14.921,0,27.78506,0
2015-03-21 15:48:30.726,0,0,0
2015-03-21 15:48:46.531,0.2277677,40067.65,15.18452
2015-03-21 15:49:02.264,0,0,0
2015-03-21 15:49:18.070,0,501.0711,0
2015-03-21 15:49:34.169,0,0,0
2015-03-21 15:49:50.277,0,190.8581,0
2015-03-21 15:50:05.924,0,0,0
2015-03-21 15:50:21.553,0,0,0
2015-03-21 15:50:37.340,0,0,0
2015-03-21 15:50:53.057,0,34.28219,0
2015-03-21 15:51:08.842,0,0,0
2015-03-21 15:51:24.748,0,10.93918,0
2015-03-21 15:51:40.817,0,0,0
2015-03-21 15:51:57.172,0,1624.283,0
2015-03-21 15:52:13.449,0,0,0
2015-03-21 15:52:29.171,0,0,0
2015-03-21 15:52:45.059,0,3060.03,0
2015-03-21 15:53:00.748,0,0,0
2015-03-21 15:53:16.760,0,0,0
2015-03-21 15:53:32.914,0,0,0
2015-03-21 15:53:48.670,15.19371,0,0
2015-03-21 15:54:04.903,0,16.04168,0
2015-03-21 15:54:20.626,0,0,0
2015-03-21 15:54:36.324,0,0,0
2015-03-21 15:54:51.933,0,11.14717,25.86911
2015-03-21 15:55:07.542,0,0,4.843527
2015-03-21 15:55:23.267,15.26178,2002.231,0
2015-03-21 15:55:38.902,0,0,15.35058
2015-03-21 15:55:54.522,0,0,0
2015-03-21 15:56:10.100,0,0,0
2015-03-21 15:56:25.704,0,22.26429,0
2015-03-21 15:56:42.082,0,18.17021,0
2015-03-21 15:57:08.243,0,0,0
2015-03-21 15:57:24.474,0,0,1.774308
2015-03-21 15:57:40.209,0,424.8563,0
2015-03-21 15:57:56.037,0,0,0
2015-03-21 15:58:11.891,0,0,0
2015-03-21 15:58:27.843,0,0,0
2015-03-21 15:58:44.280,0,0,14.601
2015-03-21 15:59:00.132,0,0,0
2015-03-21 15:59:16.164,0,0,0
2015-03-21 15:59:32.217,0,0,0
2015-03-21 15:59:48.178,0,0,0
2015-03-21 16:00:04.385,0,0,0
2015-03-21 16:00:20.262,0,32.80345,0
2015-03-21 16:00:41.260,0,0,0
2015-03-21 16:00:58.188,0,17.29735,0
2015-03-21 16:01:14.013,0,0,0
2015-03-21 16:01:34.677,0,0,0
2015-03-21 16:01:50.334,0,0,0
2015-03-21 16:02:05.960,0,0,0
2015-03-21 16:02:25.649,0,0,0
2015-03-21 16:02:41.371,0,906.9215,0
2015-03-21 16:02:57.089,0,0,0
2015-03-21 16:03:12.728,0,0,0
2015-03-21 16:03:28.317,0,0,0
2015-03-21 16:03:43.929,0,0,0
2015-03-21 16:03:59.516,0,0,0
2015-03-21 16:04:15.176,0,0,0
2015-03-21 16:04:31.098,0,0,0
2015-03-21 16:04:47.169,0,0,0
2015-03-21 16:05:03.174,0,0,0
2015-03-21 16:05:19.017,0,0,0
2015-03-21 16:05:34.740,0,0,0
2015-03-21 16:05:50.456,0,0,0
2015-03-21 16:06:06.187,0,0,0
2015-03-21 16:06:22.428,0,0,0
2015-03-21 16:06:38.195,0,0,0
2015-03-21 16:06:53.939,0,0,0
2015-03-21 16:07:09.515,0,0,0
2015-03-21 16:07:29.431,0,0,0
2015-03-21 16:07:45.157,0,0,16.59659
2015-03-21 16:08:00.980,0,0,0
2015-03-21 16:08:16.864,0,0,0
2015-03-21 16:08:32.516,0,0,0
2015-03-21 16:08:48.091,0,0,0
2015-03-21 16:09:03.722,0,0,0
2015-03-21 16:09:19.257,0,917.8419,0
2015-03-21 16:09:34.953,0,0,0
2015-03-21 16:09:50.696,0,0,0
2015-03-21 16:10:06.345,0,0,0
2015-03-21 16:10:21.934,0,0,0
2015-03-21 16:10:37.678,0,0,0
2015-03-21 16:10:53.348,0,0,0
2015-03-21 16:11:09.174,0,0,0
2015-03-21 16:11:25.065,0,0,0
2015-03-21 16:11:40.797,0,0,0
2015-03-21 16:11:56.573,0,0,0
2015-03-21 16:12:12.502,0,0,0
2015-03-21 16:12:28.156,0,0,0
2015-03-21 16:12:43.917,0,0,0
2015-03-21 16:12:59.572,0,0,0
2015-03-21 16:13:15.862,0,3022.368,0
2015-03-21 16:13:31.669,0,0,0
2015-03-21 16:13:47.435,0,0,0
2015-03-21 16:14:03.176,0,0,0
2015-03-21 16:14:19.655,0,0,0
2015-03-21 16:14:35.362,0,0,0
2015-03-21 16:14:51.238,0,0,0
2015-03-21 16:15:06.981,0,0,0
2015-03-21 16:15:23.066,0,0,0
2015-03-21 16:15:39.093,0,455.977,0
2015-03-21 16:15:54.856,0,0,0
2015-03-21 16:16:10.534,0,0,0
2015-03-21 16:16:26.302,0,0,0
2015-03-21 16:16:42.058,0,0,0
