date,Aston Villa,The Draw,West Brom
2014-12-13 15:44:32.746,109.8979,87.52904,1177.183
2014-12-13 15:44:53.428,40.26729,196.4626,1564.274
2014-12-13 15:45:14.475,119.7558,42.84527,0.08551949
2014-12-13 15:45:35.215,31.91029,136.7543,71.22678
2014-12-13 15:45:55.833,202.3912,626.4959,14.55005
2014-12-13 15:46:17.428,5.779293,13.5869,229.449
2014-12-13 15:46:38.262,20.67722,61.71487,47.05651
2014-12-13 15:46:59.277,0,94.90637,496.6881
2014-12-13 15:47:20.142,594.8458,1638.284,3186.448
2014-12-13 15:47:40.794,0,397.8491,622.4273
2014-12-13 15:48:01.580,166.8732,45.98322,138.1229
2014-12-13 15:48:22.526,8.106461,26.18129,184.0711
2014-12-13 15:48:43.471,143.2293,0,242.7164
2014-12-13 15:49:04.982,160.1097,89.14818,271.5728
2014-12-13 15:49:25.822,68.03121,215.5521,905.4513
2014-12-13 15:49:55.499,61.90577,93.88974,3599.39
2014-12-13 15:50:17.215,457.6322,71.92034,637.7232
2014-12-13 15:50:37.763,0,13.84074,37.14224
2014-12-13 15:50:58.414,93.78647,0,114.0081
2014-12-13 15:51:19.899,1281.345,0,654.1614
2014-12-13 15:51:40.552,100.2284,0,56.85417
2014-12-13 15:52:01.491,21.14703,0,349.585
2014-12-13 15:52:22.579,200.9808,200.1557,3939.355
2014-12-13 15:52:43.176,199.1398,0,1421.653
2014-12-13 15:53:04.114,43.27049,85.99651,569.7376
2014-12-13 15:53:24.800,638.3447,120.6613,1602.446
2014-12-13 15:53:45.417,1202.561,1589.455,2046.545
2014-12-13 15:54:07.332,189.9738,689.6987,3689.061
2014-12-13 15:54:28.014,659.6964,1504.914,3792.935
2014-12-13 15:54:48.525,51.66008,450.4607,4742.752
2014-12-13 15:55:09.292,92.6315,0.5778634,2850.773
2014-12-13 15:55:30.029,0,315.8047,370.9222
2014-12-13 15:55:50.877,63.28628,245.6912,73.21524
2014-12-13 15:56:11.578,137.3566,34.81015,494.2984
2014-12-13 15:56:32.475,116.2298,31.55546,1229.17
2014-12-13 15:56:53.190,42.34469,74.49422,541.2706
2014-12-13 15:57:13.710,241.5297,256.9396,895.7651
2014-12-13 15:57:34.517,11.53436,68.77359,89.16057
2014-12-13 15:57:55.119,20.29927,9.26136,220.0301
2014-12-13 15:58:15.767,4.27146,14.58689,137.2098
2014-12-13 15:58:36.334,225.0134,70.80352,575.6177
2014-12-13 15:58:57.027,85.27394,105.0195,188.6987
2014-12-13 15:59:17.954,206.6405,11.46888,2485.535
2014-12-13 15:59:39.693,579.5907,213.317,0
2014-12-13 16:00:00.454,50.05483,29.21792,21.90621
2014-12-13 16:00:31.969,40.15291,311.0185,7251.151
2014-12-13 16:00:52.514,65.24323,5.052408,260.126
2014-12-13 16:01:13.130,342.1902,58.20551,354.1514
2014-12-13 16:01:33.738,228.3793,875.7259,16237.26
2014-12-13 16:01:54.343,146.1173,0,11.64745
