date,Aston Villa,The Draw,West Brom
2014-12-13 15:51:19.899,10.5729,34.01361,55.48576
2014-12-13 15:51:40.552,10.3631,34.01361,54.94505
2014-12-13 15:52:01.491,10.6383,34.01361,54.48374
2014-12-13 15:52:22.579,10.62783,34.92407,54.25657
2014-12-13 15:52:43.176,10.59845,34.92407,54.44259
2014-12-13 15:53:04.114,10.6383,34.65238,54.47243
2014-12-13 15:53:24.800,10.47646,34.97849,54.51801
2014-12-13 15:53:45.417,10.24714,35.4539,54.09711
2014-12-13 15:54:07.332,10.02123,35.71429,54.05405
2014-12-13 15:54:28.014,10.03823,36.23188,53.76344
2014-12-13 15:54:48.525,10.41667,35.71429,53.48732
2014-12-13 15:55:09.292,10.20408,35.71429,53.52499
2014-12-13 15:55:30.029,10.20408,35.75711,53.87641
2014-12-13 15:55:50.877,10.20408,35.71429,54.05405
2014-12-13 15:56:11.578,10.20408,36.23188,53.76344
2014-12-13 15:56:32.475,10.41667,35.85387,53.60339
2014-12-13 15:56:53.190,10.41667,35.97122,53.78343
2014-12-13 15:57:13.710,10.62729,35.22821,54.05405
2014-12-13 15:57:34.517,10.41667,35.21127,53.75335
2014-12-13 15:57:55.119,10.41667,35.46099,53.97682
2014-12-13 15:58:15.767,10.41667,35.46099,53.81405
2014-12-13 15:58:36.334,10.41667,35.46099,54.05405
2014-12-13 15:58:57.027,10.6383,35.36868,53.9437
2014-12-13 15:59:17.954,10.59797,35.46099,54.05405
2014-12-13 15:59:39.693,10.6383,35.46099,54.05405
2014-12-13 16:00:00.454,10.6383,35.56078,54.05405
2014-12-13 16:00:31.969,10.59554,35.91318,54.08471
2014-12-13 16:00:52.514,10.6383,35.97122,54.09913
2014-12-13 16:01:13.130,10.62616,35.46099,54.22855
2014-12-13 16:01:33.738,10.20408,34.98321,55.29602
2014-12-13 16:01:54.343,10.46088,34.98321,54.05405
2014-12-13 16:02:15.021,10.01133,34.96503,54.15022
2014-12-13 16:02:35.736,10.41667,35.46099,54.64481
2014-12-13 16:02:56.369,10.12042,35.46099,54.52137
