date,Gael Monfils,Roger Federer
2014-11-21 16:45:40.864,35660.76,5568.291
2014-11-21 16:45:56.803,102264.4,5369.145
2014-11-21 16:46:12.582,42766.67,7455.439
2014-11-21 16:46:28.565,115949.6,66223.63
2014-11-21 16:46:44.201,11160.44,1020.704
2014-11-21 16:47:00.823,15774.82,9501.126
2014-11-21 16:47:16.554,77574,601.7474
2014-11-21 16:47:32.318,18443.24,7312.233
2014-11-21 16:47:48.056,88136.31,6243.039
2014-11-21 16:48:03.750,33588.82,11733.5
2014-11-21 16:48:19.433,32330.66,1984.174
2014-11-21 16:48:35.598,2456.017,663.9619
2014-11-21 16:48:51.425,61299.58,96.71083
2014-11-21 16:49:07.217,19522.48,1470.819
2014-11-21 16:49:22.914,10778.23,4010.68
2014-11-21 16:49:38.683,17309.96,160.2211
2014-11-21 16:49:54.390,30670.45,462.8417
2014-11-21 16:50:10.444,36362.34,488.6942
2014-11-21 16:50:26.272,11529.9,1302.445
2014-11-21 16:50:41.955,4284.522,781.8421
2014-11-21 16:50:57.630,2439.243,3361.873
2014-11-21 16:51:20.056,29964.81,3149.678
2014-11-21 16:51:35.729,53374.99,6614.383
2014-11-21 16:51:51.288,75918.37,8224.894
2014-11-21 16:52:07.675,40548.58,1498.674
2014-11-21 16:52:23.364,9636.003,719.7383
2014-11-21 16:52:39.033,74495.12,1861.855
2014-11-21 16:52:54.786,33316.58,272.7402
2014-11-21 16:53:10.757,51724.01,1976.856
2014-11-21 16:53:26.333,39767.77,2927.336
2014-11-21 16:53:42.033,172461,3723.59
2014-11-21 16:53:58.101,40254.59,928.6001
2014-11-21 16:54:13.919,52002.26,1143.236
2014-11-21 16:54:30.331,37897.01,2088.902
2014-11-21 16:54:45.955,104084.1,301.0389
2014-11-21 16:55:01.607,97311.59,2617.442
2014-11-21 16:55:17.585,11993.96,772.2592
2014-11-21 16:55:33.503,22286.9,791.0634
2014-11-21 16:55:49.840,27152.73,490.3967
2014-11-21 16:56:05.682,57725.37,1227.809
2014-11-21 16:56:21.426,174941.5,5021.883
2014-11-21 16:56:37.368,387635.1,4784.244
2014-11-21 16:56:53.273,110987.3,7187.864
2014-11-21 16:57:09.101,69994.64,4873.482
2014-11-21 16:57:24.880,97019.08,5009.662
2014-11-21 16:57:40.722,34817.96,102.2651
2014-11-21 16:57:56.431,37630.91,230.655
2014-11-21 16:58:12.822,129038.6,986.7024
2014-11-21 16:58:28.793,46856.86,623.6517
2014-11-21 16:58:44.560,26218.05,0
2014-11-21 16:59:00.185,67076.54,748.9095
2014-11-21 16:59:16.157,68011.45,3697.729
2014-11-21 16:59:33.173,48312.45,2155.705
2014-11-21 16:59:49.404,16543.29,634.4973
2014-11-21 17:00:05.202,96224.33,1841.155
2014-11-21 17:00:21.043,47573.97,646.5809
2014-11-21 17:00:36.780,173551,4046.772
