date,Gael Monfils,Roger Federer
2014-11-21 16:16:40.594,30.42597,69.89501
2014-11-21 16:16:56.828,29.99277,70.18374
2014-11-21 16:17:12.592,31.03748,69.46548
2014-11-21 16:17:28.460,30.76531,69.50899
2014-11-21 16:17:44.141,30.76531,69.13663
2014-11-21 16:17:59.860,31.74603,68.57291
2014-11-21 16:18:15.567,31.76312,68.24885
2014-11-21 16:18:31.321,32.00662,68.0741
2014-11-21 16:18:48.221,32.88823,67.60431
2014-11-21 16:19:03.951,32.50893,67.72009
2014-11-21 16:19:19.581,32.71938,67.57584
2014-11-21 16:19:35.344,32.78689,67.53571
2014-11-21 16:19:50.973,32.60691,67.56757
2014-11-21 16:20:07.252,32.78816,67.30774
2014-11-21 16:20:22.953,32.98552,66.99215
2014-11-21 16:20:38.532,32.40164,67.66543
2014-11-21 16:20:54.285,33.18642,67.6861
2014-11-21 16:21:09.901,33.33302,66.86069
2014-11-21 16:21:25.641,33.33333,66.96575
2014-11-21 16:21:41.330,33.55705,67.3993
2014-11-21 16:21:57.117,32.2796,67.60904
2014-11-21 16:22:12.718,33.48762,66.87312
2014-11-21 16:22:28.468,35.46099,65.38702
2014-11-21 16:22:44.164,35.46099,64.74797
2014-11-21 16:22:59.769,39.37008,60.48386
2014-11-21 16:23:15.413,40.84493,59.43497
2014-11-21 16:23:31.346,40.84493,57.71073
2014-11-21 16:23:46.931,48.07692,57.71073
2014-11-21 16:24:04.011,48.76052,51.38269
2014-11-21 16:24:19.818,49.54954,50.73824
2014-11-21 16:24:35.729,49.34574,50.78622
2014-11-21 16:24:51.413,49.34574,53.68376
2014-11-21 16:25:07.133,48.50734,52.2103
2014-11-21 16:25:22.780,48.92281,51.40684
2014-11-21 16:25:39.303,48.54369,50.63261
2014-11-21 16:25:55.720,51.02041,48.96485
2014-11-21 16:26:11.334,50.24048,50.45483
2014-11-21 16:26:26.985,48.11509,52.09207
2014-11-21 16:26:43.161,47.94757,52.57299
2014-11-21 16:26:58.757,46.61408,53.42571
2014-11-21 16:27:14.417,43.52198,56.7392
2014-11-21 16:27:30.629,43.19457,57.08464
2014-11-21 16:27:46.502,43.10345,54.70981
2014-11-21 16:28:02.105,47.65238,53.04572
2014-11-21 16:28:17.758,46.80259,53.47037
2014-11-21 16:28:33.378,44.63906,56.76748
2014-11-21 16:28:49.228,42.17951,57.94002
2014-11-21 16:29:06.134,44.81603,55.47289
2014-11-21 16:29:21.735,46.17079,53.93632
2014-11-21 16:29:37.373,49.0796,50.99008
2014-11-21 16:29:53.133,48.89801,51.02265
2014-11-21 16:30:08.790,46.79489,53.93089
2014-11-21 16:30:24.556,45.22948,54.23814
2014-11-21 16:30:40.370,35.95023,51.51276
2014-11-21 16:31:08.236,48.05111,53.77902
2014-11-21 16:31:23.970,48.05704,53.02238
2014-11-21 16:31:39.513,48.46324,51.72007
2014-11-21 16:31:55.279,45.88021,53.65714
2014-11-21 16:32:10.937,45.23065,54.59815
2014-11-21 16:32:26.827,47.93466,51.91869
2014-11-21 16:32:42.689,47.89624,51.78452
2014-11-21 16:32:58.488,49.84883,50.29371
2014-11-21 16:33:14.151,49.45625,50.63864
2014-11-21 16:33:29.909,49.26327,51.02023
2014-11-21 16:33:45.665,48.54282,51.27995
2014-11-21 16:34:01.338,48.75608,51.26996
2014-11-21 16:34:16.918,48.8631,51.25992
2014-11-21 16:34:32.883,48.64676,51.22213
2014-11-21 16:34:49.818,48.88594,51.23072
2014-11-21 16:35:05.683,48.54369,51.88685
2014-11-21 16:35:21.569,48.9053,51.3724
2014-11-21 16:35:37.222,48.80613,51.11554
2014-11-21 16:35:53.429,50.41245,50.16531
2014-11-21 16:36:10.478,50.72716,49.73439
2014-11-21 16:36:26.455,49.93066,50.46971
2014-11-21 16:36:42.341,51.4116,50.07835
2014-11-21 16:36:58.455,51.07689,48.47335
2014-11-21 16:37:14.719,49.36863,50.52428
2014-11-21 16:37:30.451,48.87261,50.80505
2014-11-21 16:37:46.262,48.07692,51.91638
2014-11-21 16:38:02.056,49.10271,51.19034
