date,Sunderland,The Draw,Tottenham
2015-01-17 15:43:06.579,15.15152,29.85372,54.7541
2015-01-17 15:43:25.211,15.15152,29.85075,54.76677
2015-01-17 15:43:44.177,15.15152,29.85075,54.94878
2015-01-17 15:44:00.147,15.14836,30.30303,55.23763
2015-01-17 15:44:17.007,15.14836,30.30303,55.00592
2015-01-17 15:44:34.324,15.14836,30.30303,54.94505
2015-01-17 15:44:50.051,14.85746,30.09892,54.64481
2015-01-17 15:45:06.202,14.80479,30.30303,54.66389
2015-01-17 15:45:21.936,15.11103,30.30303,54.65739
2015-01-17 15:45:37.718,14.71656,30.76923,54.34261
2015-01-17 15:45:53.785,14.93232,30.76923,54.06248
2015-01-17 15:46:09.952,15.15152,30.76923,54.06248
2015-01-17 15:46:26.080,15.625,30.76923,53.47594
2015-01-17 15:46:42.142,16.12903,31.25,53.47594
2015-01-17 15:46:58.188,14.92277,31.25,53.70502
2015-01-17 15:47:15.711,14.70588,30.76923,53.971
2015-01-17 15:47:31.764,14.28796,31.90737,53.51034
2015-01-17 15:47:49.778,14.93109,31.25,53.50712
2015-01-17 15:48:16.296,14.31517,31.25,53.75918
2015-01-17 15:48:37.944,14.53093,31.74603,53.75885
2015-01-17 15:48:54.349,14.37103,31.66557,53.7618
2015-01-17 15:49:10.477,14.31904,32.25806,53.60137
2015-01-17 15:49:26.379,14.70588,32.25806,53.74369
2015-01-17 15:49:42.300,14.70588,31.37227,53.4839
2015-01-17 15:49:58.359,14.55593,31.25,53.74955
2015-01-17 15:50:14.287,14.70588,31.25,53.75972
2015-01-17 15:50:30.684,14.70588,31.74603,53.69778
2015-01-17 15:50:46.534,14.2919,31.74603,53.75851
2015-01-17 15:51:06.134,14.70588,31.25,53.76344
2015-01-17 15:51:23.137,14.30674,31.25,53.74664
2015-01-17 15:51:39.146,14.28571,31.54548,53.57087
2015-01-17 15:51:55.125,14.50447,31.54548,53.76087
2015-01-17 15:52:10.964,14.29867,31.29486,53.75931
2015-01-17 15:52:26.700,14.29867,31.74603,53.8272
2015-01-17 15:52:42.876,14.30236,31.74603,53.98865
2015-01-17 15:53:05.113,14.23645,31.33486,54.05405
2015-01-17 15:53:21.097,13.89227,31.6263,54.05616
2015-01-17 15:53:40.176,13.88889,31.74603,54.03792
2015-01-17 15:53:55.982,13.75135,32.25806,53.90275
2015-01-17 15:54:11.704,13.83919,32.25806,54.04656
2015-01-17 15:54:27.831,13.83919,31.74603,54.05405
2015-01-17 15:54:43.705,13.88889,31.74603,54.27776
2015-01-17 15:54:59.581,13.61868,31.74603,54.35985
2015-01-17 15:55:15.422,13.88889,31.25,54.62915
2015-01-17 15:55:36.901,13.88889,31.35206,54.64983
2015-01-17 15:55:52.743,13.88889,31.49286,54.60932
2015-01-17 15:56:10.409,14.28571,31.48042,54.63658
2015-01-17 15:56:26.682,13.89373,31.43743,54.51803
2015-01-17 15:56:42.589,14.28571,31.43743,54.64481
2015-01-17 15:56:58.371,13.88889,31.25,54.64481
2015-01-17 15:57:14.449,13.88889,31.68879,54.59171
2015-01-17 15:57:31.492,14.28571,31.74603,54.35074
2015-01-17 15:57:48.177,14.1762,31.25,54.35074
2015-01-17 15:58:04.036,14.28571,31.25,54.64481
2015-01-17 15:58:20.018,13.93749,31.25,54.6588
2015-01-17 15:58:36.337,14.28571,31.74603,54.71986
2015-01-17 15:58:52.238,14.14272,31.25,54.78874
2015-01-17 15:59:08.128,14.28571,30.86792,55.03383
2015-01-17 15:59:23.894,14.15789,30.86792,55.03383
2015-01-17 15:59:39.830,13.51351,30.86792,55.28375
2015-01-17 15:59:55.776,13.84313,30.86792,55.2716
2015-01-17 16:00:15.685,13.88889,30.81515,55.4163
2015-01-17 16:00:34.081,13.5959,30.54627,55.39251
2015-01-17 16:00:50.090,13.52948,30.31264,55.55079
2015-01-17 16:01:05.935,13.52948,30.31264,55.55556
2015-01-17 16:01:21.721,13.51351,30.42969,55.55556
2015-01-17 16:01:37.957,13.5187,30.42969,55.847
2015-01-17 16:01:54.469,13.51351,30.76923,55.86118
2015-01-17 16:02:10.481,13.83399,30.30303,55.86592
2015-01-17 16:02:28.885,13.51351,30.65232,55.61032
2015-01-17 16:02:44.955,13.51351,30.56119,55.56685
2015-01-17 16:03:03.169,13.59846,30.30303,55.86592
2015-01-17 16:03:22.466,13.9038,30.29118,55.64435
2015-01-17 16:03:40.910,13.74531,30.30303,55.676
2015-01-17 16:03:56.846,14.06067,30.30303,55.86592
2015-01-17 16:04:12.998,13.51351,30.76923,55.76344
2015-01-17 16:04:28.803,13.7173,30.76684,55.93195
2015-01-17 16:04:44.704,13.85906,31.24752,55.55717
2015-01-17 16:05:01.032,13.52703,30.76923,55.81201
2015-01-17 16:05:17.322,13.65856,30.9914,55.60349
2015-01-17 16:05:33.230,13.58645,30.9914,55.60505
2015-01-17 16:05:54.217,13.51351,31.36612,55.37738
2015-01-17 16:06:09.913,13.88889,31.74603,55.063
2015-01-17 16:06:25.668,13.5244,31.33895,55.2413
2015-01-17 16:06:42.783,13.52445,31.34378,54.95291
2015-01-17 16:06:58.610,13.51636,31.25,54.65435
2015-01-17 16:07:14.300,13.51351,31.62837,55.03177
2015-01-17 16:07:30.607,13.51351,31.68047,54.91189
2015-01-17 16:07:46.355,13.51351,32.25806,54.88005
2015-01-17 16:08:03.916,13.45275,32.25806,54.79423
2015-01-17 16:08:19.766,13.55154,32.25806,54.39159
2015-01-17 16:08:41.835,13.48024,32.12788,54.79088
2015-01-17 16:09:13.411,12.90906,32.21113,54.30239
2015-01-17 16:09:29.111,12.90906,32.25806,54.01817
2015-01-17 16:09:45.530,13.15789,32.3568,53.73809
2015-01-17 16:10:01.622,13.51351,33.11093,53.4399
2015-01-17 16:10:17.476,13.51351,33.33333,53.48167
2015-01-17 16:10:33.986,13.88889,33.33333,53.44612
2015-01-17 16:10:49.948,13.88312,33.26417,53.35285
2015-01-17 16:11:05.775,13.53989,33.33333,52.91553
2015-01-17 16:11:22.048,13.36262,33.55705,52.95966
2015-01-17 16:11:40.597,13.07819,33.55705,53.18398
2015-01-17 16:11:56.488,13.15789,33.55705,53.04358
2015-01-17 16:12:13.024,12.83261,34.01361,52.94851
2015-01-17 16:12:29.064,12.87083,34.48276,52.74626
2015-01-17 16:12:48.565,12.82051,34.48276,52.6639
2015-01-17 16:13:04.283,12.82051,34.48276,52.63158
2015-01-17 16:13:20.521,13.02312,34.52849,52.7581
2015-01-17 16:13:36.384,12.82051,34.67676,52.21238
2015-01-17 16:13:52.129,13.14576,34.67676,52.08333
2015-01-17 16:14:08.162,13.36693,35.10261,51.99626
2015-01-17 16:14:24.007,13.15789,34.72222,52.10399
2015-01-17 16:14:40.922,12.81519,35.53363,52.07593
2015-01-17 16:14:56.810,12.5,35.44351,51.84072
2015-01-17 16:15:12.555,12.5,35.44369,52.0796
2015-01-17 16:15:28.299,12.5,35.44369,52.0796
2015-01-17 16:15:44.822,12.5,35.44369,52.0796
2015-01-17 16:16:00.615,12.82051,35.21127,52.7583
2015-01-17 16:16:17.017,11.90476,35.71429,52.05768
2015-01-17 16:16:32.845,11.90476,35.71429,51.76652
2015-01-17 16:16:51.409,11.90476,35.71429,51.54639
2015-01-17 16:17:07.607,12.37843,35.71429,51.49398
2015-01-17 16:17:23.423,12.24767,37.31343,50.02406
2015-01-17 16:17:41.835,12.00472,38.25927,50.28086
2015-01-17 16:17:58.760,12.16408,37.92162,50.00335
2015-01-17 16:18:15.781,12.4836,37.36326,50.24156
2015-01-17 16:18:36.278,11.9945,37.53259,50.36968
2015-01-17 16:18:53.750,11.98713,37.89353,50.24486
2015-01-17 16:19:09.794,11.72169,38.00174,50.48025
2015-01-17 16:19:25.828,11.50151,38.25929,50.18722
2015-01-17 16:19:42.194,11.63621,38.49948,50.47311
2015-01-17 16:19:58.109,11.03224,38.72913,50.48374
2015-01-17 16:20:14.357,11.00107,38.85693,49.89625
2015-01-17 16:20:30.626,11.01714,38.93021,50.01641
2015-01-17 16:20:46.839,11.01522,39.77775,49.52796
2015-01-17 16:21:02.871,11.22571,40,48.66784
2015-01-17 16:21:18.734,11.64173,39.75395,49.04084
2015-01-17 16:21:35.018,11.03361,40.22125,49.09796
2015-01-17 16:21:51.146,10.9195,39.85079,48.74446
2015-01-17 16:22:06.921,10.69417,40.68912,48.98508
2015-01-17 16:22:22.809,10.41667,40.41255,48.67887
2015-01-17 16:22:41.145,10.41667,40.41255,48.67887
2015-01-17 16:22:59.877,10.41667,40.50324,49.17168
2015-01-17 16:23:16.412,10.29407,41.34294,48.4629
2015-01-17 16:23:32.087,10.07745,42.33348,47.83201
2015-01-17 16:23:47.854,10,42.54698,47.33763
2015-01-17 16:24:03.673,9.794977,42.9043,47.95905
2015-01-17 16:24:19.597,10.00522,42.49447,47.04957
2015-01-17 16:24:35.361,10.40639,42.99646,47.33838
2015-01-17 16:24:51.170,10.60385,42.77612,46.09396
2015-01-17 16:25:07.299,10.63707,43.47826,46.02557
2015-01-17 16:25:23.178,10.71909,43.98397,45.84948
2015-01-17 16:25:39.790,10.55794,43.85728,45.39077
2015-01-17 16:25:55.815,10.36688,44.65454,45.41217
2015-01-17 16:26:12.767,10.42803,44.93716,45.14008
2015-01-17 16:26:28.727,10.23356,44.6736,44.98217
2015-01-17 16:26:44.548,10.09458,44.95816,44.72933
2015-01-17 16:27:00.387,9.843346,45.39082,45.17447
2015-01-17 16:27:16.177,9.52381,45.38246,45.34277
2015-01-17 16:27:31.935,9.143092,45.83703,44.92005
2015-01-17 16:27:47.690,8.990987,47.06529,44.13268
2015-01-17 16:28:03.831,8.922858,47.07978,44.04562
2015-01-17 16:28:19.730,8.633249,47.2039,43.9727
2015-01-17 16:28:35.531,8.841047,47.2039,43.34978
2015-01-17 16:28:51.282,8.955077,47.67128,43.22399
2015-01-17 16:29:07.107,8.763417,48.52335,43.05174
2015-01-17 16:29:39.841,9.185919,48.33471,42.1247
2015-01-17 16:29:55.912,9.475207,48.75434,42.21295
2015-01-17 16:30:11.994,9.433364,49.17359,41.75298
