date,Sunderland,The Draw,Tottenham
2015-01-17 15:54:11.704,20.0739,4.274291,1570.764
2015-01-17 15:54:27.831,0,94.01402,393.8023
2015-01-17 15:54:43.705,556.6264,0,7445.625
2015-01-17 15:54:59.581,52.90745,245.1504,1280.058
2015-01-17 15:55:15.422,107.5733,51.58971,223.8963
2015-01-17 15:55:36.901,5.586665,77.62671,2538.329
2015-01-17 15:55:52.743,19.99836,149.5711,12904.7
2015-01-17 15:56:10.409,312.4531,51.11325,4256.256
2015-01-17 15:56:26.682,896.2272,357.7387,3525.654
2015-01-17 15:56:42.589,120.7341,0,4710.895
2015-01-17 15:56:58.371,31.93518,13.76254,2023.094
2015-01-17 15:57:14.449,87.54722,100.3472,3405.721
2015-01-17 15:57:31.492,0.668903,28.65721,9886.105
2015-01-17 15:57:48.177,1182.941,154.3451,0
2015-01-17 15:58:04.036,37.83314,332.3263,3202.841
2015-01-17 15:58:20.018,420.1369,1351.601,1282.523
2015-01-17 15:58:36.337,64.82045,450.6915,1576.648
2015-01-17 15:58:52.238,1898.674,57.62018,714.4223
2015-01-17 15:59:08.128,7.551782,5377.51,9884.489
2015-01-17 15:59:23.894,111.2775,0,0
2015-01-17 15:59:39.830,322.436,0,1482.136
2015-01-17 15:59:55.776,459.0833,0,2858.237
2015-01-17 16:00:15.685,36.1655,280.9456,2087.201
2015-01-17 16:00:34.081,29.09348,326.0622,1439.181
2015-01-17 16:00:50.090,197.437,852.8993,357.1331
2015-01-17 16:01:05.935,0,0,2301.093
2015-01-17 16:01:21.721,90.83906,55.33961,466.8139
2015-01-17 16:01:37.957,520.8283,0,1223.692
2015-01-17 16:01:54.469,277.4071,32.3048,1890.431
2015-01-17 16:02:10.481,262.3051,234.4258,178.2176
2015-01-17 16:02:28.885,58.68013,458.9112,2456.905
2015-01-17 16:02:44.955,45.47623,185.6386,3116.055
2015-01-17 16:03:03.169,942.4092,3237.028,220.0865
2015-01-17 16:03:22.466,646.7585,4818.43,1653.726
2015-01-17 16:03:40.910,159.1745,4556.822,1758.337
2015-01-17 16:03:56.846,94.16595,846.5146,132.495
2015-01-17 16:04:12.998,29.42126,856.4485,2764.001
2015-01-17 16:04:28.803,133.6969,2041.744,1257.442
2015-01-17 16:04:44.704,40.90447,1418.751,2503.852
2015-01-17 16:05:01.032,304.2191,702.8384,3205.857
2015-01-17 16:05:17.322,168.7286,1135.649,2119.992
2015-01-17 16:05:33.230,237.3553,0,554.8977
2015-01-17 16:05:54.217,335.8379,972.0629,2766.009
2015-01-17 16:06:09.913,49.88592,31.88112,5535.656
2015-01-17 16:06:25.668,647.2348,63.939,5043.755
2015-01-17 16:06:42.783,1060.765,56.02161,4676.262
2015-01-17 16:06:58.610,1946.254,20.85082,2719.326
2015-01-17 16:07:14.300,77.36368,248.994,867.7888
2015-01-17 16:07:30.607,716.9229,430.9264,1364.931
2015-01-17 16:07:46.355,469.017,719.8706,1775.978
2015-01-17 16:08:03.916,405.9852,52.23861,9375.651
2015-01-17 16:08:19.766,111.5609,7.571148,1417.963
2015-01-17 16:08:41.835,178.863,199.5522,4536.143
2015-01-17 16:09:13.411,348.5563,373.259,3383.92
2015-01-17 16:09:29.111,0,966.3897,7276.317
2015-01-17 16:09:45.530,81.60163,182.7175,1944.699
2015-01-17 16:10:01.622,28.63553,163.3866,650.5261
2015-01-17 16:10:17.476,40.15338,2498.063,4428.187
2015-01-17 16:10:33.986,72.6842,0,1624.928
2015-01-17 16:10:49.948,128.1754,367.9123,5574.503
2015-01-17 16:11:05.775,306.1301,113.9979,3099.629
2015-01-17 16:11:22.048,127.6138,90.04128,1922.54
2015-01-17 16:11:40.597,139.6724,114.1187,840.6223
2015-01-17 16:11:56.488,115.1592,43.45845,218.0851
2015-01-17 16:12:13.024,986.5708,203.6201,4881.949
2015-01-17 16:12:29.064,478.8883,154.6044,3917.106
2015-01-17 16:12:48.565,208.1095,191.0337,1523.162
2015-01-17 16:13:04.283,64.09302,0,50.35062
2015-01-17 16:13:20.521,66.99149,123.526,1555.769
2015-01-17 16:13:36.384,60.06243,23.63918,2228.816
2015-01-17 16:13:52.129,437.0203,649.8143,8447.814
2015-01-17 16:14:08.162,500.0122,1510.927,4078.125
2015-01-17 16:14:24.007,825.6272,35.06379,4091.368
2015-01-17 16:14:40.922,337.2707,146.8199,1729.772
2015-01-17 16:14:56.810,136.1005,2584.098,999.3043
2015-01-17 16:15:12.555,0,1534.735,2388.039
2015-01-17 16:15:28.299,0,0,0
2015-01-17 16:15:44.822,0,0,0
2015-01-17 16:16:00.615,44.3729,30.3924,1131.433
2015-01-17 16:16:17.017,8.96276,319.8791,464.0515
2015-01-17 16:16:32.845,118.4605,0,680.8543
2015-01-17 16:16:51.409,0,0,506.0409
2015-01-17 16:17:07.607,340.1081,465.7502,7383.479
2015-01-17 16:17:23.423,711.5535,312.9287,10378.09
2015-01-17 16:17:41.835,229.4264,374.3822,2526.07
2015-01-17 16:17:58.760,521.7415,2106.924,14199.15
2015-01-17 16:18:15.781,2030.194,2738.381,42086
2015-01-17 16:18:36.278,258.0423,875.3239,4335.637
2015-01-17 16:18:53.750,378.0425,407.0936,41758.6
2015-01-17 16:19:09.794,1181.899,3581.26,74266.71
2015-01-17 16:19:25.828,522.1765,1286.843,3641.09
2015-01-17 16:19:42.194,465.4633,1808.107,24345.76
2015-01-17 16:19:58.109,301.9798,513.4034,15343.44
2015-01-17 16:20:14.357,435.641,1685.436,7319.043
2015-01-17 16:20:30.626,413.7179,2516.311,5469.02
2015-01-17 16:20:46.839,70.94113,248.3495,9561.214
2015-01-17 16:21:02.871,1321.856,1885.516,14856.7
2015-01-17 16:21:18.734,4661.637,1782.917,16661.16
2015-01-17 16:21:35.018,208.4377,744.031,6575.092
2015-01-17 16:21:51.146,125.2234,1632.555,7345.399
2015-01-17 16:22:06.921,1124.602,245.7023,9890.204
2015-01-17 16:22:22.809,468.391,125.3398,4381.04
2015-01-17 16:22:41.145,0,0,0
2015-01-17 16:22:59.877,21.07589,61.85037,107.4294
2015-01-17 16:23:16.412,231.8012,1230.999,5688.599
2015-01-17 16:23:32.087,457.6471,610.9107,8122.624
2015-01-17 16:23:47.854,171.4351,1671.882,5376.783
2015-01-17 16:24:03.673,2172.834,1121.292,18172.99
2015-01-17 16:24:19.597,1290.132,4260.599,11661.64
